C16737	C06892	R08503
C06892	C16737	-R08503
C02970	C20352	R10095
C02970	C00013	R10095
C00119	C20352	R10095
C00119	C00013	R10095
C00109	C05984	-R01000
C00153	C00253	R01268
C00153	C00014	R01268
C00001	C00253	R01268
C00001	C00014	R01268
C00341	C00013	R02003
C00341	C00448	R02003
C00129	C00013	R02003
C00129	C00448	R02003
C05803	C05804	R04983
C05803	C00021	R04983
C00019	C05804	R04983
C00019	C00021	R04983
C03284	C06002	R04188
C03284	C00025	R04188
C00026	C06002	R04188
C00026	C00025	R04188
C06002	C03284	-R04188
C00025	C03284	-R04188
C06002	C00026	-R04188
C00025	C00026	-R04188
C00002	C00008	R03632
C00002	C02729	R03632
C01609	C00008	R03632
C01609	C02729	R03632
C00008	C01609	-R03632
C02729	C01609	-R03632
C01613	C05404	R03635
C01613	C00095	R03635
C00001	C05404	R03635
C00001	C00095	R03635
C00286	C00330	R01856
C00286	C00536	R01856
C00001	C00330	R01856
C00001	C00536	R01856
C00330	C00286	-R01856
C00002	C00008	R01857
C00002	C00286	R01857
C00361	C00008	R01857
C00361	C00286	R01857
C00008	C00361	-R01857
C00286	C00361	-R01857
C00361	C00286	-R01858
C00074	C00286	-R01858
C00361	C00022	-R01858
C00074	C00022	-R01858
C00002	C00008	R01859
C00002	C00009	R01859
C00002	C00683	R01859
C00100	C00008	R01859
C00100	C00009	R01859
C00100	C00683	R01859
C00288	C00008	R01859
C00288	C00009	R01859
C00288	C00683	R01859
C00008	C00100	-R01859
C00683	C00100	-R01859
C00002	C00008	R03182
C00002	C00009	R03182
C00002	C01909	R03182
C01037	C00008	R03182
C01037	C00009	R03182
C01037	C01909	R03182
C00011	C00008	R03182
C00011	C00009	R03182
C00011	C01909	R03182
C00008	C01037	-R03182
C01909	C01037	-R03182
C00587	C00628	R02589
C00587	C00003	R02589
C00587	C00001	R02589
C00007	C00628	R02589
C00007	C00003	R02589
C00007	C00001	R02589
C00004	C00628	R02589
C00004	C00003	R02589
C00004	C00001	R02589
C00080	C00628	R02589
C00080	C00003	R02589
C00080	C00001	R02589
C00104	C00022	-R00724
C00074	C00022	-R00724
C00081	C00104	R00726
C00081	C00074	R00726
C00081	C00011	R00726
C00036	C00104	R00726
C00036	C00074	R00726
C00036	C00011	R00726
C00104	C00036	-R00726
C00074	C00036	-R00726
C00081	C00130	R00720
C00081	C00013	R00720
C00001	C00130	R00720
C00001	C00013	R00720
C00002	C00008	R00722
