R08503	-R08503
R04188	-R04188
R03632	-R03632
R01856	-R01856
R01857	-R01857
R01859	-R01859
R03182	-R03182
R00726	-R00726
R00722	-R00722
R01482	-R01482
R01067	-R01067
R01066	-R01066
R01068	-R01068
R01280	-R01280
R00885	-R00885
R00089	-R00089
R03471	-R03471
R02568	-R02568
R04734	-R04734
R01547	-R01547
R11319	-R11319
R07268	-R07268
R01049	-R01049
R05630	-R05630
R05633	-R05633
R05634	-R05634
R00768	-R00768
R00764	-R00764
R00767	-R00767
R03231	-R03231
R04444	-R04444
R04445	-R04445
R00161	-R00161
R00570	-R00570
R00571	-R00571
R01684	-R01684
R01717	-R01717
R02060	-R02060
R10859	-R10859
R00291	-R00291
R00742	-R00742
R02291	-R02291
R01071	-R01071
R09366	-R09366
R09365	-R09365
R00104	-R00104
R03024	-R03024
R02087	-R02087
R03596	-R03596
R00137	-R00137
R07034	-R07034
R07035	-R07035
R01698	-R01698
R01528	-R01528
R01529	-R01529
R05197	-R05197
R00127	-R00127
R00126	-R00126
R08924	-R08924
R03868	-R03868
R04673	-R04673
R00258	-R00258
R00253	-R00253
R01324	-R01324
R01325	-R01325
R02124	-R02124
R11530	-R11530
R03066	-R03066
R02331	-R02331
R00025	-R00025
R00868	-R00868
R01909	-R01909
R01655	-R01655
R04424	-R04424
R02740	-R02740
R00428	-R00428
R00429	-R00429
R00848	-R00848
R00847	-R00847
R01920	-R01920
R00189	-R00189
R10113	-R10113
R11579	-R11579
R00405	-R00405
R00401	-R00401
R00409	-R00409
R08237	-R08237
R11895	-R11895
R11896	-R11896
R00130	-R00130
R00230	-R00230
R03968	-R03968
R04640	-R04640
R10170	-R10170
R01137	-R01137
R01135	-R01135
R10092	-R10092
R09138	-R09138
R09137	-R09137
R01056	-R01056
R01057	-R01057
R00948	-R00948
R00945	-R00945
R01090	-R01090
R01092	-R01092
R05390	-R05390
R01158	-R01158
R10343	-R10343
R10520	-R10520
R11073	-R11073
R01983	-R01983
R00586	-R00586
R00966	-R00966
R01216	-R01216
R01214	-R01214
R01215	-R01215
R04936	-R04936
R08165	-R08165
R00354	-R00354
R05071	-R05071
R01900	-R01900
R10052	-R10052
R04035	-R04035
R04037	-R04037
R00658	-R00658
R09749	-R09749
R00908	-R00908
R00332	-R00332
R00330	-R00330
R01827	-R01827
R01829	-R01829
R11659	-R11659
R10137	-R10137
R01737	-R01737
R02413	-R02413
R07781	-R07781
R07105	-R07105
R01786	-R01786
R03321	-R03321
R01257	-R01257
R00315	-R00315
R00310	-R00310
R01665	-R01665
R04206	-R04206
R04208	-R04208
R05030	-R05030
R04560	-R04560
R10907	-R10907
R09735	-R09735
R00694	-R00694
R01015	-R01015
R10221	-R10221
R06848	-R06848
R11174	-R11174
R11173	-R11173
R00174	-R00174
R00734	-R00734
R09223	-R09223
R04509	-R04509
R00505	-R00505
R01070	-R01070
R06861	-R06861
R06863	-R06863
R01843	-R01843
R00156	-R00156
R00158	-R00158
R08572	-R08572
R02807	-R02807
R10948	-R10948
R02493	-R02493
R00899	-R00899
R03601	-R03601
R03600	-R03600
R00772	-R00772
R00771	-R00771
