C00025	L-Glutamate
C00024	Acetyl-CoA
C00148	L-Proline
C00026	2-Oxoglutarate
C00020	AMP
C00022	Pyruvate
C00143	5,10-Methylenetetrahydrofolate
C00141	3-Methyl-2-oxobutanoic acid
C00029	UDP-glucose
C00147	Adenine
C00144	GMP
C00942	3',5'-Cyclic GMP
C00149	(S)-Malate
C00944	3-Dehydroquinate
C14819	Fe3+
C14818	Fe2+
C00857	Deamino-NAD+
C00437	N-Acetylornithine
C01755	Thiocyanate
C00438	N-Carbamoyl-L-aspartate
C00536	Triphosphate
C04501	N-Acetyl-alpha-D-glucosamine 1-phosphate
C00703	Mercury(2+)
C00704	O2.-
C04874	7,8-Dihydroneopterin
C02631	2-Isopropylmaleate
C01185	Nicotinate D-ribonucleotide
C02637	3-Dehydroshikimate
C00493	Shikimate
C05852	2-Hydroxyphenylacetate
C04454	5-Amino-6-(5'-phospho-D-ribitylamino)uracil
C00227	Acetyl phosphate
C02130	Acetyl-maltose
C00224	Adenylyl sulfate
C00222	3-Oxopropanoate
C00221	beta-D-Glucose
C00387	Guanosine
C02504	alpha-Isopropylmalate
C01324	Bromide
C04593	(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate
C02741	Phosphoribosyl-AMP
C00544	Homogentisate
C00009	Orthophosphate
C00008	ADP
C00007	Oxygen
C00006	NADP+
C00005	NADPH
C00004	NADH
C00003	NAD+
C00002	ATP
C00001	H2O
C00966	2-Dehydropantoate
C21008	7,8-Dihydromonapterin
C06232	Molybdate
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide
C00415	Dihydrofolate
C00417	cis-Aconitate
C00099	beta-Alanine
C00311	Isocitrate
C01528	Hydrogen selenide
C00091	Succinyl-CoA
C00092	D-Glucose 6-phosphate
C00093	sn-Glycerol 3-phosphate
C00094	Sulfite
C00095	D-Fructose
C00096	GDP-mannose
C00097	L-Cysteine
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine
C00620	alpha-D-Ribose 1-phosphate
C04006	1D-myo-Inositol 3-phosphate
C00242	Guanine
C01319	Hg
C00568	4-Aminobenzoate
C00166	Phenylpyruvate
C00167	UDP-glucuronate
C03794	N6-(1,2-Dicarboxyethyl)-AMP
C01094	D-Fructose 1-phosphate
C00169	Carbamoyl phosphate
C00566	(3S)-Citryl-CoA
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide
C00068	Thiamin diphosphate
C05686	Adenylylselenate
C00345	6-Phospho-D-gluconate
C04377	5,10-Methylenetetrahydromethanopterin
