C00032	Heme
C04722	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate
C05999	Lactaldehyde
C11174	1-Diphosinositol pentakisphosphate
C00673	2-Deoxy-D-ribose 5-phosphate
C02735	Phenylethanolamine
C00527	Glutaryl-CoA
C00624	N-Acetyl-L-glutamate
C14781	15H-11,12-EETA
C05356	5(S)-HPETE
C00253	Nicotinate
C00141	3-Methyl-2-oxobutanoic acid
C21640	6-(1'-Hydroxy-2'-oxopropyl)-tetrahydropterin
C00491	L-Cystine
C16837	4-Amino-1-piperidinecarboxylic acid
C14778	16(R)-HETE
C00242	Guanine
C01259	(3S)-3-Hydroxy-N6,N6,N6-trimethyl-L-lysine
C05335	L-Selenomethionine
C05699	L-Selenocystathionine
C00130	IMP
C00580	Dimethyl sulfide
C00109	2-Oxobutanoate
C08276	3-(Methylthio)propanoate
C03373	Aminoimidazole ribotide
C01143	(R)-5-Diphosphomevalonate
C04043	3,4-Dihydroxyphenylacetaldehyde
C16643	Morphine-3-glucuronide
C03595	8,11,14-Eicosatrienoyl-CoA
C00243	Lactose
C16374	(2E,6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosaheptaenoyl-CoA
C20775	beta-Citryl-L-glutamate
C03451	(R)-S-Lactoylglutathione
C05512	Deoxyinosine
C03758	Dopamine
C16620	6-Methylthioguanosine monophosphate
C00645	N-Acetyl-D-mannosamine
C15606	1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one
C00365	dUMP
C05584	3-Methoxy-4-hydroxymandelate
C16162	(9Z,12Z,15Z)-Octadecatrienoyl-CoA
C00627	Pyridoxine phosphate
C15605	N-Formyl-D-kynurenine
C05936	N4-Acetylaminobutanal
C00168	Hydroxypyruvate
C04899	(6S)-6beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide phosphate
C05452	3alpha,7alpha-Dihydroxy-5beta-cholestane
C05634	5-Hydroxyindoleacetaldehyde
C00631	2-Phospho-D-glycerate
C00842	dTDP-glucose
C05332	Phenethylamine
C18038	7alpha-Hydroxypregnenolone
C07086	Phenylacetic acid
