R03353	-R03353
R04188	-R04188
R03632	-R03632
R01857	-R01857
R01859	-R01859
R08539	-R08539
R03181	-R03181
R02581	-R02581
R00727	-R00727
R00726	-R00726
R00722	-R00722
R05002	-R05002
R01794	-R01794
R04758	-R04758
R04756	-R04756
R01067	-R01067
R01066	-R01066
R01068	-R01068
R03372	-R03372
R03371	-R03371
R03378	-R03378
R01281	-R01281
R01280	-R01280
R02396	-R02396
R00885	-R00885
R05614	-R05614
R10764	-R10764
R00089	-R00089
R09535	-R09535
R11142	-R11142
R07509	-R07509
R07059	-R07059
R03610	-R03610
R02568	-R02568
R00709	-R00709
R04734	-R04734
R04738	-R04738
R01547	-R01547
R01548	-R01548
R00619	-R00619
R01415	-R01415
R00943	-R00943
R07022	-R07022
R07021	-R07021
R05421	-R05421
R00149	-R00149
R11319	-R11319
R00558	-R00558
R07268	-R07268
R01049	-R01049
R10548	-R10548
R07079	-R07079
R01890	-R01890
R00768	-R00768
R00760	-R00760
R00767	-R00767
R04711	-R04711
R01561	-R01561
R02484	-R02484
R09920	-R09920
R04444	-R04444
R04445	-R04445
R01758	-R01758
R03263	-R03263
R03262	-R03262
R00161	-R00161
R02836	-R02836
R00570	-R00570
R00571	-R00571
R08381	-R08381
R06838	-R06838
R02999	-R02999
R00291	-R00291
R00742	-R00742
R02297	-R02297
R02295	-R02295
R01361	-R01361
R04849	-R04849
R04840	-R04840
R09366	-R09366
R09365	-R09365
R00100	-R00100
R00104	-R00104
R00106	-R00106
R10992	-R10992
R03026	-R03026
R03024	-R03024
R02084	-R02084
R02085	-R02085
R04104	-R04104
R04100	-R04100
R09087	-R09087
R09086	-R09086
R09085	-R09085
R03596	-R03596
R03592	-R03592
R03591	-R03591
R03848	-R03848
R00137	-R00137
R10873	-R10873
R07034	-R07034
R07035	-R07035
R02502	-R02502
R01698	-R01698
R01520	-R01520
R01521	-R01521
R01528	-R01528
R01529	-R01529
R01402	-R01402
R05595	-R05595
R05197	-R05197
R04826	-R04826
R00127	-R00127
R08263	-R08263
R08924	-R08924
R07758	-R07758
R03045	-R03045
R07893	-R07893
R01759	-R01759
R02926	-R02926
R02921	-R02921
R02920	-R02920
R09752	-R09752
R03868	-R03868
R00258	-R00258
R00253	-R00253
R01324	-R01324
R01325	-R01325
R01329	-R01329
R02124	-R02124
R04809	-R04809
R04804	-R04804
R04806	-R04806
R04807	-R04807
R04374	-R04374
R02331	-R02331
R09515	-R09515
R07093	-R07093
R01909	-R01909
R01655	-R01655
R02109	-R02109
R04682	-R04682
R04683	-R04683
R04681	-R04681
R04352	-R04352
R02740	-R02740
R02748	-R02748
R04466	-R04466
R00428	-R00428
R02352	-R02352
R02353	-R02353
R08227	-R08227
R00848	-R00848
R00847	-R00847
R04163	-R04163
R02914	-R02914
R00214	-R00214
R00216	-R00216
R01920	-R01920
R01923	-R01923
R01926	-R01926
R01583	-R01583
R00185	-R00185
R00187	-R00187
R00189	-R00189
R02765	-R02765
R00405	-R00405
R08233	-R08233
R08232	-R08232
R08230	-R08230
R08237	-R08237
R08236	-R08236
R08235	-R08235
R08239	-R08239
R02372	-R02372
