C00025	L-Glutamate
C00024	Acetyl-CoA
C00148	L-Proline
C00026	2-Oxoglutarate
C00021	S-Adenosyl-L-homocysteine
C00020	AMP
C00022	Pyruvate
C00143	5,10-Methylenetetrahydrofolate
C00140	N-Acetyl-D-glucosamine
C00141	3-Methyl-2-oxobutanoic acid
C05527	3-Sulfinylpyruvate
C00027	Hydrogen peroxide
C00144	GMP
C01829	Thyroxine
C00942	3',5'-Cyclic GMP
C00940	2-Oxoglutaramate
C00149	(S)-Malate
C05350	2-Hydroxy-3-(4-hydroxyphenyl)propenoate
C05993	Acetyl adenylate
C14819	Fe3+
C14818	Fe2+
C00430	5-Aminolevulinate
C00533	Nitric oxide
C01755	Thiocyanate
C00438	N-Carbamoyl-L-aspartate
C00439	N-Formimino-L-glutamate
C00536	Triphosphate
C00822	Dopaquinone
C00531	Itaconyl-CoA
C00704	O2.-
C11821	5-Hydroxyisourate
C00708	Iodide
C01180	4-Methylthio-2-oxobutanoic acid
C04874	7,8-Dihydroneopterin
C01185	Nicotinate D-ribonucleotide
C00643	5-Hydroxy-L-tryptophan
C00029	UDP-glucose
C01528	Hydrogen selenide
C07447	Acetylhydrazine
C05852	2-Hydroxyphenylacetate
C02939	3-Methylbutanoyl-CoA
C00794	D-Sorbitol
C05998	3-Hydroxyisovaleryl-CoA
C01134	Pantetheine 4'-phosphate
C01137	S-Adenosylmethioninamine
C01132	N-Acetyl-D-galactosamine
C00224	Adenylyl sulfate
C00388	Histamine
C01236	D-Glucono-1,5-lactone 6-phosphate
C00221	beta-D-Glucose
C00385	Xanthine
C00386	Carnosine
C00387	Guanosine
C03758	Dopamine
C02220	2-Aminomuconate
C15978	2-Methyl-1-hydroxybutyl-ThPP
C00544	Homogentisate
C01172	beta-D-Glucose 6-phosphate
C00366	Urate
C00009	Orthophosphate
C00008	ADP
C00007	Oxygen
C00006	NADP+
C00005	NADPH
C00004	NADH
C00003	NAD+
C00002	ATP
C00001	H2O
C07294	Methylarsonate
C00800	L-Gulonate
C04257	N-Acetyl-D-mannosamine 6-phosphate
C06232	Molybdate
C04895	7,8-Dihydroneopterin 3'-triphosphate
C00418	(R)-Mevalonate
C00417	cis-Aconitate
C01007	Reduced riboflavin
C00645	N-Acetyl-D-mannosamine
C00099	beta-Alanine
C00311	Isocitrate
C00315	Spermidine
C00642	4-Hydroxyphenylacetate
C00091	Succinyl-CoA
C00092	D-Glucose 6-phosphate
C00093	sn-Glycerol 3-phosphate
C00094	Sulfite
C00095	D-Fructose
C00096	GDP-mannose
C00097	L-Cysteine
C03231	3-Methylglutaconyl-CoA
C02918	1-Methylnicotinamide
