C00025	L-Glutamate
C00024	Acetyl-CoA
C00148	L-Proline
C00026	2-Oxoglutarate
C00020	AMP
C00022	Pyruvate
C00143	5,10-Methylenetetrahydrofolate
C00140	N-Acetyl-D-glucosamine
C00141	3-Methyl-2-oxobutanoic acid
C00029	UDP-glucose
C00147	Adenine
C00144	GMP
C00942	3',5'-Cyclic GMP
C00149	(S)-Malate
C00944	3-Dehydroquinate
C05993	Acetyl adenylate
C14819	Fe3+
C14818	Fe2+
C00431	5-Aminopentanoate
C00099	beta-Alanine
C00533	Nitric oxide
C01755	Thiocyanate
C00438	N-Carbamoyl-L-aspartate
C00826	L-Arogenate
C00536	Triphosphate
C04501	N-Acetyl-alpha-D-glucosamine 1-phosphate
C00497	(R)-Malate
C00704	O2.-
C00705	dCDP
C01180	4-Methylthio-2-oxobutanoic acid
C04874	7,8-Dihydroneopterin
C02631	2-Isopropylmaleate
C01185	Nicotinate D-ribonucleotide
C02637	3-Dehydroshikimate
C01187	3-Deoxy-D-manno-octulosonate
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine
C01087	(R)-2-Hydroxyglutarate
C12455	5-Aminopentanal
C04225	(Z)-But-2-ene-1,2,3-tricarboxylate
C02097	dTDP-galactose
C00750	Spermine
C03921	2-Dehydro-3-deoxy-D-glucarate
C01134	Pantetheine 4'-phosphate
C20485	(4S)-4-Hydroxy-2-oxoglutarate
C01137	S-Adenosylmethioninamine
C01131	L-Rhamnulose 1-phosphate
C00227	Acetyl phosphate
C00224	Adenylyl sulfate
C01236	D-Glucono-1,5-lactone 6-phosphate
C00221	beta-D-Glucose
C05382	Sedoheptulose 7-phosphate
C00385	Xanthine
C00387	Guanosine
C02504	alpha-Isopropylmalate
C15699	gamma-L-Glutamylputrescine
C05841	Nicotinate D-ribonucleoside
C01327	Hydrochloric acid
C04593	(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate
C00546	Methylglyoxal
C00366	Urate
C00364	dTMP
C00365	dUMP
C00362	dGMP
C00363	dTDP
C00009	Orthophosphate
C00008	ADP
C00007	Oxygen
C00006	NADP+
C00005	NADPH
C00004	NADH
C00003	NAD+
C00002	ATP
C00001	H2O
C21007	5,6,7,8-Tetrahydromonapterin
C03589	4-Hydroxy-2-oxopentanoate
C14830	GDP-4-keto-6-L-deoxygalactose
C00802	Oxalureate
C04257	N-Acetyl-D-mannosamine 6-phosphate
C00966	2-Dehydropantoate
C21008	7,8-Dihydromonapterin
C06232	Molybdate
