C05998	3-Hydroxyisovaleryl-CoA
C03460	2-Methylprop-2-enoyl-CoA
C01286	2-Dehydro-3-deoxy-6-phospho-D-galactonate
C11838	(S)-4,5-Dihydroxypentane-2,3-dione
C02067	Pseudouridine
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine
C00527	Glutaryl-CoA
C00679	5-Dehydro-4-deoxy-D-glucarate
C20497	N-Acetyl-beta-D-mannosaminuronosyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol
C06377	D-Galactosamine 6-phosphate
C12834	2,5-Dichloro-carboxymethylenebut-2-en-4-olide
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate
C16153	UDP-L-Ara4N
C03175	Shikimate 3-phosphate
C00024	Acetyl-CoA
C05698	Selenohomocysteine
C20749	4-Trimethylammoniobutanoyl-CoA
C00093	sn-Glycerol 3-phosphate
C00234	10-Formyltetrahydrofolate
C00315	Spermidine
C16332	trans-2-Enoyl-OPC6-CoA
C06790	Trichloroethene
C01050	UDP-N-acetylmuramate
C17962	Demethylphosphinothricin
C05272	trans-Hexadec-2-enoyl-CoA
C20232	(Z)-2-Methylureidoacrylate peracid
C00170	5'-Methylthioadenosine
C00882	Dephospho-CoA
C01007	Reduced riboflavin
C16477	5-Fluoromuconolactone
C00199	D-Ribulose 5-phosphate
C20249	(Z)-3-Peroxyaminoacrylate
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine
C16337	3-Hydroxy-OPC4-CoA
C06441	L-Xylulose 1-phosphate
C02970	Decaprenol phosphate
C06002	(S)-Methylmalonate semialdehyde
C04702	UDPMurNAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)
C05699	L-Selenocystathionine
C01250	N-Acetyl-L-glutamate 5-semialdehyde
C20415	dTDP-4-acetamido-4,6-dideoxy-alpha-D-galactose
C00248	Lipoamide
C06006	(S)-2-Aceto-2-hydroxybutanoate
C00844	Prunasin
C21749	5-Fluorouridine triphosphate
C00233	4-Methyl-2-oxopentanoate
C05691	Se-Adenosylselenomethionine
C02291	L-Cystathionine
C00559	Deoxyadenosine
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide
C00417	cis-Aconitate
C00558	D-Tagaturonate
C00168	Hydroxypyruvate
C00921	Dihydropteroate
C04030	(2,3-Dihydroxybenzoyl)adenylate
C16586	2-Phenyl-1,3-propanediol monocarbamate
C02631	2-Isopropylmaleate
C16272	3-Hydroxy-5-oxohexanoate
C15527	Precorrin 1
C20960	3-Hydroxy-5-phosphooxypentane-2,4-dione
C00147	Adenine
C01213	(R)-Methylmalonyl-CoA
C15672	Heme O
C00311	Isocitrate
C00534	Pyridoxamine
C06000	(S)-3-Hydroxyisobutyryl-CoA
C05696	3'-Phosphoadenylylselenate
C01302	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate
C20248	7-Carboxy-7-carbaguanine
C06506	Adenosyl cobyrinate a,c diamide
C05665	3-Aminopropanal
C05125	2-(alpha-Hydroxyethyl)thiamine diphosphate
C18309	3-Chloro-2-methyldienelactone
C00668	alpha-D-Glucose 6-phosphate
C02380	6-Mercaptopurine
C00365	dUMP
C04646	6-Thioinosine-5'-monophosphate
C21153	Adenosylcobalamin 5'-phosphate
C20957	L-Alanyl-D-glutamate
C03742	(S)-4-Hydroxymandelonitrile
