C16312	C16351	R07883
C16351	C16312	-R07883
C16737	C06892	R08503
C06892	C16737	-R08503
C22080	C15689	R12326
C15689	C22080	-R12326
C22079	C22080	R12325
C22080	C22079	-R12325
C01724	C11455	R12323
C11143	C11142	R12320
C00341	C09902	R09968
C00341	C09844	R09964
C00341	C20242	R09965
C02970	C20352	R10095
C02291	C00097	R01001
C02291	C00109	R01001
C00109	C05984	-R01000
C21135	C21136	R11136
C04578	C02673	R04013
C02673	C04578	-R04013
C16505	C16506	R08150
C16505	C00132	R08150
C01869	C00218	R03359
C01869	C03765	R03359
C04227	C03765	R03358
C01187	C04121	R03351
C04478	C01187	R03350
C01189	C03845	R03353
C03845	C01189	-R03353
C04047	C01188	R03352
C01192	C04036	-R03357
C00152	C02512	R01267
C04540	C00140	R01266
C04540	C00152	R01266
C00140	C04540	-R01266
C00152	C04540	-R01266
C00153	C02918	R01269
C00153	C00253	R01268
C00508	C00532	-R02441
C00341	C02462	R02006
C03190	C00341	R02007
C00341	C02344	R02004
C00129	C00448	R02003
C00341	C06074	R02009
C11755	C20815	R10742
C20815	C11755	-R10742
C11101	C20448	R10216
C14279	C20441	R10217
C20447	C00026	R10210
C03724	C20447	R10211
C14279	C01546	R10212
C20450	C01546	R10213
C01134	C00831	R10748
C11101	C20443	R10218
C18799	C18802	-R10219
C18799	C00024	-R10219
C00091	C00042	R05588
C09816	C09817	R05588
C00042	C00091	-R05588
C09817	C09816	-R05588
C06715	C00024	R05586
C06715	C00527	R05586
C09820	C00091	R05587
C09820	C00512	R05587
C02247	C00512	R05585
C00512	C02247	-R05585
C09812	C09813	R05582
C06749	C09821	R05581
C09821	C06749	-R05581
C12836	C00042	R06855
C12836	C06755	R06855
C00472	C07103	-R06854
C12837	C05618	R06857
C06990	C12837	R06856
C00530	C02814	R06851
C06990	C07092	-R06850
C02814	C07103	R06853
C07103	C02814	-R06853
C02372	C00472	R06852
C00472	C02372	-R06852
C05812	C05813	R04989
C05811	C05812	R04988
C05812	C05811	-R04988
C05810	C05811	R04987
C05809	C05810	R04986
C05801	C05802	R04981
C05802	C05801	-R04981
C05800	C05801	R04980
C05803	C05804	R04983
C05802	C05803	R04982
C06790	C06792	R05501
C06792	C06790	-R05501
C06451	C20396	R10191
C03277	C03817	-R04185
C00041	C00022	R04187
C06002	C03284	R04187
C00022	C00041	-R04187
C03284	C06002	-R04187
C03277	C03817	-R04186
C03296	C03415	R04189
C00026	C00025	R04188
C03284	C06002	R04188
C00025	C00026	-R04188
C06002	C03284	-R04188
C03187	C00688	R10190
C00688	C03187	-R10190
C21150	C06742	R11164
C20125	C21149	R11161
C21149	C20125	-R11161
C00170	C01137	-R11160
C21010	C21009	-R11160
C20125	C21150	R11163
C21149	C21150	R11162
C21150	C21149	-R11162
C04865	C01310	R03518
C04864	C01310	R03517
C02785	C05849	R03512
C02059	C05849	R03511
C00190	C00015	R10257
C08647	C20468	R10257
C00905	C00800	-R10848
C15877	C15878	R07522
C15878	C15877	-R07522
C15878	C15879	R07523
C15879	C15878	-R07523
C15874	C15877	R07521
C15884	C15885	R07526
C19795	C15886	R07527
C15879	C15881	R07524
C15881	C15884	R07525
C15886	C15887	R07528
C15887	C15886	-R07528
C15887	C15888	R07529
C02864	C01610	R03633
C01610	C02864	-R03633
C01606	C04783	R03630
C01607	C02060	R03631
C02060	C01607	-R03631
C05906	C01617	R03636
C01617	C05906	-R03636
C01617	C03052	R03637
C01613	C00492	R03634
C01613	C00124	R03634
C01613	C00095	R03635
C01613	C05404	R03635
C01617	C03052	R03638
C00286	C00362	R01855
C00286	C00330	R01856
C00330	C00286	-R01856
C00361	C00286	R01857
C00286	C00361	-R01857
C00409	C00067	R01851
C03283	C00986	R07650
C00361	C00286	-R01858
C00074	C00022	-R01858
C00100	C00683	R01859
C00683	C00100	-R01859
C00400	C09870	R08530
C09870	C00400	-R08530
C00553	C16825	R08531
C16825	C00553	-R08531
C01765	C11338	R08532
C11338	C01765	-R08532
C00029	C00015	R08533
C00482	C02919	R08533
C00029	C00015	R08534
C00811	C16827	R08534
C00015	C00029	-R08534
C16827	C00811	-R08534
C01719	C01722	-R08536
C06212	C08299	R08537
C02951	C02162	R08538
C03409	C01044	R03188
C00025	C01045	R03189
C01040	C03289	R03184
C02565	C01043	R03187
C03078	C01035	R03180
C01036	C01061	R03181
C01061	C01036	-R03181
C01037	C01909	R03182
C01909	C01037	-R03182
C02670	C01040	-R03183
C00689	C00031	R00837
C00689	C00092	R00837
C12432	C01907	R06693
C01907	C12432	-R06693
C12431	C12432	R06692
C12428	C12431	R06691
C01907	C01661	R06690
C18358	C06691	R06697
C12435	C12436	R06696
C12434	C12435	R06695
C12435	C12434	-R06695
C12433	C01907	-R06694
C12366	C12367	R06699
C12436	C12437	R06698
C20534	C20535	R10357
C20535	C20534	-R10357
C00584	C05953	R02583
C00639	C00584	R02581
C00584	C00639	-R02581
C04707	C00584	-R02580
C06369	C00586	R02587
C00587	C00628	R02589
