R07883	-R07883
R08503	-R08503
R12326	-R12326
R12325	-R12325
R04013	-R04013
R03353	-R03353
R01266	-R01266
R10742	-R10742
R05588	-R05588
R05585	-R05585
R05581	-R05581
R06853	-R06853
R06852	-R06852
R04988	-R04988
R04981	-R04981
R05501	-R05501
R04187	-R04187
R04188	-R04188
R10190	-R10190
R11161	-R11161
R11162	-R11162
R07522	-R07522
R07523	-R07523
R07528	-R07528
R03632	-R03632
R03633	-R03633
R03631	-R03631
R03636	-R03636
R01856	-R01856
R01857	-R01857
R01850	-R01850
R01859	-R01859
R08530	-R08530
R08531	-R08531
R08532	-R08532
R08534	-R08534
R08539	-R08539
R03181	-R03181
R03182	-R03182
R06693	-R06693
R06695	-R06695
R10357	-R10357
R02581	-R02581
R00727	-R00727
R00726	-R00726
R00722	-R00722
R10356	-R10356
R05002	-R05002
R05337	-R05337
R01794	-R01794
R10353	-R10353
R10352	-R10352
R04758	-R04758
R08154	-R08154
R04756	-R04756
R09254	-R09254
R11370	-R11370
R11371	-R11371
R04538	-R04538
R10680	-R10680
R11295	-R11295
R10978	-R10978
R10970	-R10970
R11082	-R11082
R11081	-R11081
R11088	-R11088
R11089	-R11089
R01482	-R01482
R11290	-R11290
R12306	-R12306
R11964	-R11964
R11961	-R11961
R06266	-R06266
R06267	-R06267
R06265	-R06265
R06268	-R06268
R06269	-R06269
R01064	-R01064
R01067	-R01067
R01066	-R01066
R01069	-R01069
R01068	-R01068
R03373	-R03373
R03372	-R03372
R03371	-R03371
R03375	-R03375
R03374	-R03374
R03378	-R03378
R01281	-R01281
R01280	-R01280
R07720	-R07720
R02396	-R02396
R07721	-R07721
R00880	-R00880
R07722	-R07722
R00883	-R00883
R00885	-R00885
R05618	-R05618
R00889	-R00889
R05614	-R05614
R05610	-R05610
R10769	-R10769
R10764	-R10764
R10765	-R10765
R10760	-R10760
R00089	-R00089
R09060	-R09060
R09535	-R09535
R04310	-R04310
R03471	-R03471
R11149	-R11149
R11148	-R11148
R11147	-R11147
R11145	-R11145
R11144	-R11144
R11142	-R11142
R04259	-R04259
R03571	-R03571
R03576	-R03576
R08080	-R08080
R07509	-R07509
R07059	-R07059
R07057	-R07057
R07053	-R07053
R03610	-R03610
R08880	-R08880
R08887	-R08887
R05854	-R05854
R06674	-R06674
R06677	-R06677
R06671	-R06671
R06673	-R06673
R06672	-R06672
R02568	-R02568
R00709	-R00709
R05856	-R05856
R05857	-R05857
R05858	-R05858
R05859	-R05859
R04736	-R04736
R04734	-R04734
R04738	-R04738
R01547	-R01547
R01542	-R01542
R01543	-R01543
R01548	-R01548
R00619	-R00619
R09905	-R09905
R01415	-R01415
R03900	-R03900
R07029	-R07029
R07028	-R07028
R05136	-R05136
R00943	-R00943
R07022	-R07022
R07021	-R07021
R05424	-R05424
R05421	-R05421
R00143	-R00143
R00149	-R00149
R08746	-R08746
R11315	-R11315
R11319	-R11319
R06948	-R06948
R10405	-R10405
R10403	-R10403
R02813	-R02813
R07757	-R07757
R00550	-R00550
R00554	-R00554
R00558	-R00558
R09850	-R09850
R12149	-R12149
R12147	-R12147
R07265	-R07265
R07264	-R07264
R07268	-R07268
R01049	-R01049
R01044	-R01044
R03399	-R03399
R03398	-R03398
R03395	-R03395
R03397	-R03397
R03396	-R03396
R04344	-R04344
R09599	-R09599
R05630	-R05630
R05633	-R05633
R05634	-R05634
R09046	-R09046
R09733	-R09733
R09049	-R09049
R06813	-R06813
R06812	-R06812
R06815	-R06815
R06817	-R06817
R06816	-R06816
R05810	-R05810
R10548	-R10548
R03807	-R03807
R03806	-R03806
R03809	-R03809
R11127	-R11127
R07079	-R07079
R01898	-R01898
R01890	-R01890
R02601	-R02601
R02605	-R02605
R04237	-R04237
R04235	-R04235
R04234	-R04234
R02547	-R02547
R02546	-R02546
R06381	-R06381
R06380	-R06380
R06383	-R06383
R06385	-R06385
R02548	-R02548
R05718	-R05718
R00768	-R00768
R00760	-R00760
R00764	-R00764
R00767	-R00767
R00766	-R00766
R08926	-R08926
R08020	-R08020
R06409	-R06409
R01385	-R01385
R01387	-R01387
R01381	-R01381
R07926	-R07926
R09636	-R09636
R07928	-R07928
R07929	-R07929
R09637	-R09637
R03230	-R03230
R03231	-R03231
R04714	-R04714
R04715	-R04715
R04711	-R04711
R01561	-R01561
R01568	-R01568
R10157	-R10157
R10156	-R10156
R02484	-R02484
R10155	-R10155
R09920	-R09920
R04444	-R04444
R04445	-R04445
R03494	-R03494
R01758	-R01758
R03818	-R03818
R03263	-R03263
R03262	-R03262
R05403	-R05403
R00161	-R00161
R11334	-R11334
R11330	-R11330
R11332	-R11332
R11333	-R11333
R02837	-R02837
R02836	-R02836
R02834	-R02834
R02832	-R02832
R08766	-R08766
R10421	-R10421
R10420	-R10420
