C16579	trans-Homoaconitate
C01726	D-Lombricine
C10906	D-Fructose
C10905	Activated methyl group
C20354	3-O-alpha-D-Glucopyranosyl-L-rhamnopyranose
C01028	N6-Hydroxy-L-lysine
C04509	di-trans,poly-cis-Decaprenyl diphosphate
C01026	N,N-Dimethylglycine
C01755	Thiocyanate
C01024	Hydroxymethylbilane
C01757	Triacetate
C01750	Quercitrin
C01752	Scopoletin
C04501	N-Acetyl-alpha-D-glucosamine 1-phosphate
C21352	dTDP-4-oxo-2-deoxy-alpha-D-pentos-2-ene
C21353	dTDP-4-oxo-2-deoxy-beta-L-xylose
C21350	dTDP-3-O-methyl-beta-L-rhamnose
C21351	dTDP-4-oxo-alpha-D-xylose
C04874	7,8-Dihydroneopterin
C03160	2-Succinylbenzoyl-CoA
C09826	Pinobanksin
C21170	N1,N8-Bis(sinapoyl)spermidine
C02130	Acetyl-maltose
C00884	Homocarnosine
C02137	alpha-Oxo-benzeneacetic acid
C02139	Chlorophyllide
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate
C01620	Threonate
C01623	UDP-apiose
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate
C01804	Discadenine
C05831	3-Methoxyanthranilate
C05830	8-Methoxykynurenate
C05835	2-Formaminobenzoylacetate
C05834	3-Methyldioxyindole
C21007	5,6,7,8-Tetrahydromonapterin
C03660	L-Bornesitol
C03661	1F-beta-D-Fructosylsucrose
C03666	2-Carboxy-cis,cis-muconate
C19758	beta-D-Galactosyl-(1->4)-L-rhamnose
C19755	Patchoulol
C19754	cis-Muurola-4(14),5-diene
C19756	Presilphiperfolan-8beta-ol
C16192	Malonylgenistin
C19750	3,5-Dihydroxybiphenyl
C21008	7,8-Dihydromonapterin
C21009	N4-Aminopropylspermidine
C06232	Molybdate
C05813	2-Octaprenyl-6-methoxy-1,4-benzoquinone
C15883	2,3-Dimethyl-5-phytylquinol
C15882	2-Methyl-6-phytylquinol
C01934	L-Rhamnonate
C01244	3,5-Diiodo-4-hydroxyphenylpyruvate
C05810	2-Octaprenylphenol
C02225	2-Methylcitrate
C05904	Pelargonidin
C05907	Luteoforol
C02226	2-Methylmaleate
C05901	Piceatannol
C02220	2-Aminomuconate
C02591	Sucrose 6'-phosphate
C02222	2-Maleylacetate
C02912	(R)-Propane-1,2-diol
C02917	(S)-Propane-1,2-diol
C02916	(S)-Norlaudanosoline
C02919	4-O-beta-D-Glucosyl-sinapate
C02918	1-Methylnicotinamide
C18802	Tetrahydrosarcinapterin
C06360	Propyl cinnamate
C03069	3-Methylcrotonyl-CoA
C03064	3-Dehydro-L-threonate
C03067	3-Hydroxybenzaldehyde
C03063	2-Oxohept-3-enedioate
C02048	Laminaribiose
C03794	N6-(1,2-Dicarboxyethyl)-AMP
C03269	D-galacto-Hexodialdose
C03267	beta-D-Fructose 2-phosphate
C03263	Coproporphyrinogen III
C03087	5-Acetamidopentanoate
C06564	Penicillin N
C06565	Deacetoxycephalosporin C
C06562	(+)-Catechin
C06563	Genistein
C06561	Naringenin chalcone
C03088	5-Hydroxymethyluracil
C03089	5-Methylthio-D-ribose
C16360	3,7-Dimethyluric acid
C16365	5-Acetylamino-6-formylamino-3-methyluracil
C11407	(3R)-3-Isopropenyl-6-oxoheptanoyl-CoA
C16366	5-Acetylamino-6-amino-3-methyluracil
C16368	Pelargonidin 3-(6-p-coumaroyl)glucoside
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate
C04275	1,2-Bis-O-sinapoyl-beta-D-glucose
C22070	2,4-Dihydroxycinnamoyl-CoA
C07091	cis-Acetylacrylate
C06660	Clavaminic acid
C12440	Trachelanthamidine
C06160	(S)-Norcoclaurine
C03401	L-2,3-Diaminopropanoate
C03406	N-(L-Arginino)succinate
C06697	Arsenite
C09320	Afzelechin
C04181	3-Hydroxy-3-methyl-2-oxobutanoic acid
C04186	5-Carboxymethyl-2-hydroxymuconate
C04187	5-Methyldeoxycytidine diphosphate
C04188	S-Methyl-5-thio-D-ribose 1-phosphate
C03885	3-Nonaprenyl-4-hydroxybenzoate
C07565	Acetanilide
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate
C00691	2,4,6/3,5-Pentahydroxycyclohexanone
C00697	Nitrogen
C00698	Cl-
C18158	17-Oxosparteine
C00502	D-Xylonate
C00503	Erythritol
C14862	2-S-Glutathionyl acetate
C00501	CDP-glucose
C00506	L-Cysteate
C14865	2-(S-Glutathionyl)acetyl chloride
C14866	Chloral
C14867	Dichloroacetyl chloride
C14868	S-(1,2-Dichlorovinyl)glutathione
C14869	Trichloroethanol glucuronide
C11537	(2R)-3-Sulfolactate
C00509	Naringenin
C06760	2-Hydroxy-5-methyl-cis,cis-muconic semialdehyde
C06761	(4E)-2-Oxohexenoic acid
C06762	4-Hydroxy-2-oxohexanoic acid
C21294	D-Erythritol 1-phosphate
C03319	dTDP-L-rhamnose
C00328	L-Kynurenine
C00329	D-Glucosamine
C00322	2-Oxoadipate
C00323	Caffeoyl-CoA
C00320	Thiosulfate
C00327	L-Citrulline
C00325	GDP-L-fucose
C02949	4-Hydroxybenzoyl-CoA
C04695	5-O-(Indol-3-ylacetyl-myo-inositol) D-galactoside
C04690	2-(Hydroxymethyl)-3-(acetamidomethylene)succinate
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate
C05589	L-Normetanephrine
C18021	Pheophorbide a
C04052	5-Carboxy-2-oxohept-3-enedioate
C04053	5-Dehydro-4-deoxy-D-glucuronate
C10208	Daidzein
C18026	(2S)-Ethylmalonyl-CoA
C05581	3-Methoxy-4-hydroxyphenylacetaldehyde
C05580	3,4-Dihydroxymandelate
C05583	3-Methoxy-4-hydroxyphenylglycolaldehyde
C05582	Homovanillate
C05585	Gentisate aldehyde
C05584	3-Methoxy-4-hydroxymandelate
C05587	3-Methoxytyramine
C00218	Methylamine
C12537	Benzyl benzoate
C00216	D-Arabinose
C00217	D-Glutamate
C00214	Thymidine
C00212	Adenosine
C00213	Sarcosine
C00036	Oxaloacetate
C00037	Glycine
C00035	GDP
C00032	Heme
C00033	Acetate
C00031	D-Glucose
C20746	(3R)-Citramalyl-CoA
C20747	(R)-Malyl-CoA
C20742	2'-Phospho-cyclic ADP-ribose
C09789	Naringin
C05631	Eriodictyol
C05637	4,8-Dihydroxyquinoline
C05636	3-Hydroxykynurenamine
C05635	5-Hydroxyindoleacetate
C05634	5-Hydroxyindoleacetaldehyde
C05638	5-Hydroxykynurenamine
C20985	2-Sulfotrehalose
C20631	(2S,3S)-3-Hydroxyasparagine
C20980	3-Methoxy-5-methyl-1-naphthoate
C20981	5,10-Dihydrophenazine-1-carboxylate
C20634	O-Methyl anthranilate
C20635	Methyl (indol-3-yl)acetate
C20639	O-Ureido-L-serine
C15612	Senecionine N-oxide
C17366	(2S,5S)-trans-Carboxymethylproline
C17367	(3S,5S)-Carbapenam-3-carboxylic acid
C21585	4-Phospho-D-threonate
C20563	Brevianamide F
C20560	N1-(3-Aminopropyl)agmatine
C20561	21,22-Diprenylpaxilline
C20566	7,8-Dihydroneopterin 2'-phosphate
C20567	7,8-Dihydroneopterin 2',3'-cyclic phosphate
C01101	L-Ribulose 5-phosphate
C01100	L-Histidinol phosphate
C01103	Orotidine 5'-phosphate
C01102	O-Phospho-L-homoserine
C01107	(R)-5-Phosphomevalonate
C05127	N-Methylhistamine
C05125	2-(alpha-Hydroxyethyl)thiamine diphosphate
C05123	2-Hydroxyethanesulfonate
C00445	5,10-Methenyltetrahydrofolate
C20184	(+)-T-Muurolol
C20185	(12E)-9alpha-Labda-8(17),12,14-triene
C20180	(-)-alpha-Cuprenene
C20181	Avermitilol
C20182	(-)-delta-Cadinene
C16567	Homotrypanothione
C16566	Glutathionylaminopropylcadaverine
C16565	Aminopropylcadaverine
C20367	4-Nitro-6-oxohepta-2,4-dienedioate
C16563	Bis(glutathionyl)spermine
C16562	Glutathionylspermine
C01983	(R)-Mandelate
C01230	all-trans-Hexaprenyl diphosphate
C20162	Viridiflorene
C20163	5-epi-alpha-Selinene
C20161	alpha-Guaiene
C01236	D-Glucono-1,5-lactone 6-phosphate
C01748	Pyocyanine
C01987	2-Aminophenol
C01035	4-Guanidinobutanoate
C01742	Palatinose
C01036	4-Maleylacetoacetate
C01031	S-Formylglutathione
C01746	Piperidine
C01745	Pinosylvin
C16695	Plastoquinol-9
C19619	(+)-Germacrene D
C19964	(13S)-Isotuberculosinol
C19963	Tuberculosinol
C19960	dTDP-3-dehydro-6-deoxy-alpha-D-galactopyranose
C21169	N1,N8-Bis(4-coumaroyl)spermidine
C02693	(Indol-3-yl)acetamide
C05338	4-Hydroxyphenylacetyl-CoA
C02457	Propane-1,3-diol
C02106	(S)-Scoulerine
C05335	L-Selenomethionine
C05332	Phenethylamine
C01324	Bromide
C01327	Hydrochloric acid
C01326	Hydrogen cyanide
C01818	Hyponitrite
C19768	5-Deoxy-5-chloroadenosine
C21017	2-(alpha-Hydroxypropyl)thiamine diphosphate
C21016	Ophthalmate
C21010	N4-Bis(aminopropyl)spermidine
C03676	3-Hydroxy-cis,cis-muconate
C19760	(2Z,6Z)-Farnesyl diphosphate
C19761	1-O-(2-Acetamido-2-deoxy-alpha-D-glucopyranosyl)-1D-myo-inositol 3-phosphate
C19766	5'-Deoxy-5'-fluoroadenosine
C19767	7-(3-Methylbut-2-enyl)-L-tryptophan
C02218	Dehydroalanine
C13050	Cyclic ADP-ribose
C01250	N-Acetyl-L-glutamate 5-semialdehyde
C01252	4-(2-Aminophenyl)-2,4-dioxobutanoate
C05931	N-Succinyl-L-glutamate
C05932	N-Succinyl-L-glutamate 5-semialdehyde
C05933	N(omega)-Hydroxyarginine
C02214	(E)-Glutaconate
C05600	2-Hydroxyhepta-2,4-dienedioate
C05936	N4-Acetylaminobutanal
C19816	Elisabethatriene
C19817	Phyllocladan-16alpha-ol
C19814	Terpentetriene
C19815	Terpentedienyl diphosphate
C19810	ent-Pimara-9(11),15-diene
C19818	beta-Phellandrene
C17570	2-Methyl-6-solanyl-1,4-benzoquinol
C15980	(S)-2-Methylbutanoyl-CoA
C03078	4-Guanidinobutanamide
C03071	3-aci-Nitropropanoate
C03077	4-Chlorophenylacetate
C05804	2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone
C02674	Deoxyribonolactone
C06359	Ethyl cinnamate
C06358	Methyl cinnamate
C05802	2-Hexaprenyl-6-methoxyphenol
C02855	N-Phospho-D-lombricine
C06355	2,3',4,6-Tetrahydroxybenzophenone
C03277	Imidazol-5-yl-pyruvate
C06356	2,4,6-Trihydroxybenzophenone
C05809	3-Octaprenyl-4-hydroxybenzoate
C03273	5-Oxopentanoate
C06352	4-O-Methyl-myo-inositol
C00447	Sedoheptulose 1,7-bisphosphate
C07089	5-Chloro-2-hydroxymuconic semialdehyde
C03090	5-Phosphoribosylamine
C00446	alpha-D-Galactose 1-phosphate
C07083	Styrene
C07086	Phenylacetic acid
C07087	2-Hydroxy-6-oxoocta-2,4,7-trienoate
C07084	Styrene-cis-2,3-dihydrodiol
C07085	3-Vinylcatechol
C16358	1-Methylxanthine
C16359	1-Methyluric acid
C20062	2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA
C11434	2-C-Methyl-D-erythritol 4-phosphate
C16355	7-Methyluric acid
C11436	2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol
C11437	1-Deoxy-D-xylulose 5-phosphate
C00179	Agmatine
C16352	7-Methylxanthosine
C16353	7-Methylxanthine
C12457	3-Dimethylallyl-4-hydroxymandelic acid
C12456	3-Dimethylallyl-4-hydroxyphenylpyruvate
C12455	5-Aminopentanal
C14153	alpha-Tocotrienol
C00440	5-Methyltetrahydrofolate
C21004	Norspermine
C12458	3-Dimethylallyl-4-hydroxybenzoate
C03415	N2-Succinyl-L-ornithine
C06177	Retronecine
C06176	Senecionine
C20535	beta-PC-M6
C00527	Glutaryl-CoA
C03898	Quercetin 3,4',7-trissulfate
C04197	Indole-3-acetyl-beta-1-D-glucoside
C20534	12-Demethyl-11,12-dehydropaspaline
C04199	Isovitexin 2''-O-beta-D-glucoside
C03897	Quercetin 3,3',7-trissulfate
C08242	Lychnose
C00683	(S)-Methylmalonyl-CoA
C00682	2-Hydroxymuconate semialdehyde
C00684	2-Dehydro-3-deoxy-L-arabinonate
C00689	alpha,alpha'-Trehalose 6-phosphate
C00688	dTDP-4-dehydro-beta-L-rhamnose
C12638	Quercetin 3-O-(6-O-malonyl-beta-D-glucoside)
C20246	2-[(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate
C00511	Acrylic acid
C00513	CDP-glycerol
C00512	Benzoyl-CoA
C00515	D-Ornithine
C00514	D-Mannonate
C00519	Hypotaurine
C11501	9-Riburonosyladenine
C16222	Formononetin 7-O-glucoside-6''-O-malonate
C20532	20,21-Diprenylterpendole I
C03586	2-Oxo-2,3-dihydrofuran-5-acetate
C16190	2,7-Dihydroxy-4'-methoxyisoflavanone
C17592	Laudanine
C16191	Malonyldaidzin
C20249	(Z)-3-Peroxyaminoacrylate
C21333	8-Amino-3,8-dideoxy-D-manno-octulosonate
C00331	Indolepyruvate
C00330	Deoxyguanosine
C00333	D-Galacturonate
C00332	Acetoacetyl-CoA
C00334	4-Aminobutanoate
C00337	(S)-Dihydroorotate
C21868	6,7-Dichloro-L-tryptophan
C09265	Fraxetin
C02612	(R)-2-Methylmalate
C04045	3-(3,4-Dihydroxyphenyl)pyruvate
C04044	3-(2,3-Dihydroxyphenyl)propanoate
C04043	3,4-Dihydroxyphenylacetaldehyde
C10216	Daidzin
C00209	Oxalate
C00208	Maltose
C00204	2-Dehydro-3-deoxy-D-gluconate
C00207	Acetone
C00206	dADP
C00203	UDP-N-acetyl-D-galactosamine
C00025	L-Glutamate
C00024	Acetyl-CoA
C00027	Hydrogen peroxide
C00026	2-Oxoglutarate
C00021	S-Adenosyl-L-homocysteine
C00020	AMP
C00022	Pyruvate
C03217	2-Hydroxy-3-oxoadipate
C00029	UDP-glucose
C04559	4-Methylmuconolactone
C04507	alpha-D-Galactosyl-diphosphoundecaprenol
C20993	S-(L-Histidin-5-yl)-L-cysteine S-oxide
C20620	N-Acetyl-alpha-D-galactosaminyl-diphospho-ditrans,octacis-undecaprenol
C20622	beta-D-Gal-(1->3)-alpha-D-GalNAc-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol
C20625	alpha-L-Fuc-(1->2)-beta-D-Gal-(1->3)-alpha-D-GalNAc-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol
C20995	gamma-L-Glutamyl-S-(hercyn-2-yl)-L-cysteine S-oxide
C20994	S-(Hercyn-2-yl)-L-cysteine S-oxide
C20579	Cyclopeptine
C15606	1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one
C01528	Hydrogen selenide
C20576	Kunzeaol
C01134	Pantetheine 4'-phosphate
C04797	5-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde
C09684	Humulene
C01137	S-Adenosylmethioninamine
C01131	L-Rhamnulose 1-phosphate
C01132	N-Acetyl-D-galactosamine
C01133	N-Acetyl-D-glucosaminate
C05158	trans-beta-D-Glucosyl-2-hydroxycinnamate
C21971	5-Amino-5-(4-hydroxybenzyl)-6-(D-ribitylimino)-5,6-dihydrouracil
C15513	Benzyl acetate
C20198	Adenosine 5'-pentaphosphate
C05903	Kaempferol
C20190	P1,P6-Bis(5'-adenosyl)hexaphosphate
C21718	beta-Heptaprene
C16519	2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate
C21716	beta-Geranylfarnesene
C21717	beta-Hexaprene
C04415	4-O-beta-D-Glucosyl-4-hydroxycinnamate
C20175	Bicyclogermacrene
C20174	delta-Guaiene
C20177	7-epi-Sesquithujene
C20173	(+)-gamma-Cadinene
C20172	Cubebol
C20179	gamma-Curcumene
C20178	Sesquithujene
C01008	Trimethylsulfonium
C04522	2-Chloro-2,5-dihydro-5-oxofuran-2-acetate
C01004	N-Methylnicotinate
C01005	O-Phospho-L-serine
C01007	Reduced riboflavin
C04858	Apigenin 7-O-[beta-D-apiosyl-(1->2)-beta-D-glucoside]
C20834	Cyclooctat-9-en-7-ol
C21803	8-Demethyl-8-formylriboflavin 5'-phosphate
C15651	2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate
C19609	Nickel(2+)
C01795	Columbamine
C19975	2-Oxepin-2(3H)-ylideneacetyl-CoA
C19974	(+)-Caryolan-1-ol
C19973	(+)-beta-Caryophyllene
C16426	Isopentenyladenosine-5'-diphosphate
C16427	Isopentenyl adenosine
C16424	Isopentenyladenosine-5'-triphosphate
C16422	Hesperetin 7-O-glucoside
C21398	Methanesulfinic acid
C05328	D-2-Aminohexano-6-lactam
C01319	Hg
C02115	2-Methylserine
C01487	D-Allose
C01489	D-Iditol
C01868	(+)-Sabinone
C00628	2,5-Dihydroxybenzoate
C19772	alpha-D-Glucopyranosyl-diphospho-ditrans,octacis-undecaprenol
C19771	2'-(5-Triphosphoribosyl)-3'-dephospho-CoA
C01860	Trichodiene
C01861	Trithionate
C00785	Urocanate
C03648	cis-3,4-Leucopelargonidin
C21027	N-Acetylmuramic acid alpha-1-phosphate
C21028	(R)-5,6-Dihydrothymine
C21029	(R)-3-Ureidoisobutyrate
C02207	beta-Alanopine
C05925	Dihydroneopterin phosphate
C05923	2,5-Diaminopyrimidine nucleoside triphosphate
C05922	Formamidopyrimidine nucleoside triphosphate
C16410	Bracteatin 6-O-glucoside
C06210	2-Hydroxy-6-keto-2,4-heptadienoate
C05929	10-Formyltetrahydrofolylpolyglutamate
C05928	(6R)-10-Formyltetrahydropteroyldiglutamate
C01260	P1,P4-Bis(5'-adenosyl)tetraphosphate
C01261	P1,P4-Bis(5'-guanosyl) tetraphosphate
C01262	beta-Alanyl-N(pi)-methyl-L-histidine
C01265	3,7-Di-O-methylquercetin
C01267	3-(Imidazol-4-yl)-2-oxopropyl phosphate
C01268	5-Amino-6-(5'-phosphoribosylamino)uracil
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate
C21610	3-Dehydro-4-phospho-D-erythronate
C17749	Curcumin monoglucoside
C02067	Pseudouridine
C17740	p-Coumaroyl-diketide-CoA
C17741	Feruloyl-diketide-CoA
C17742	Demethoxycurcumin
C17743	Bisdemethoxycurcumin
C03248	Acetylenedicarboxylate
C05812	2-Octaprenyl-6-methoxyphenol
C05811	2-Octaprenyl-6-hydroxyphenol
C02666	Coniferyl aldehyde
C02661	Bromochloromethane
C05814	2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone
C03240	6-Deoxyerythronolide B
C20232	(Z)-2-Methylureidoacrylate peracid
C03790	N-(Carboxymethyl)-D-alanine
C02669	D-Galactono-1,5-lactone
C06366	sym-Homospermidine
C07099	2,3,6-Trichlorohydroquinone
C00010	CoA
C04210	N5-(L-1-Carboxyethyl)-L-ornithine
C04211	N(6)-[(Indol-3-yl)acetyl]-L-lysine
C04216	all-trans-Heptaprenyl diphosphate
C04217	all-trans-Pentaprenyl diphosphate
C06547	Ethylene
C06548	Ethylene oxide
C07090	Protoanemonin
C05375	2-Hydroxy-2-hydropyrone-4,6-dicarboxylate
C07095	2,5-Dichloro-cis,cis-muconate
C07097	2,6-Dichlorohydroquinone
C18035	dTDP-3-methyl-4-oxo-2,6-dideoxy-D-glucose
C16349	Pelargonidin 3-O-beta-D-glucoside 5-O-(6-coumaroyl-beta-D-glucoside)
C11421	(3S)-3-Isopropenyl-6-oxoheptanoyl-CoA
C06144	3-Butynoate
C03427	Prephytoene diphosphate
C06142	1-Butanol
C19154	7,8-Didemethyl-8-hydroxy-5-deazariboflavin
C06148	2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine
C08650	Isoliquiritigenin
C06657	Guanidinoproclavaminic acid
C09306	Sulfur dioxide
C11516	2-(alpha-D-Mannosyl)-3-phosphoglycerate
C11515	(E)-2-(Methoxycarbonylmethyl)butenedioate
C11514	(E)-3-(Methoxycarbonyl)pent-2-enedioate
C16232	6,7,4'-Trihydroxyflavanone
C02985	L-Fucose 1-phosphate
C04324	(1E,3E)-4-Hydroxybuta-1,3-diene-1,2,4-tricarboxylate
C04322	Delta1-Pyrroline-5-carboxylate
C09873	(E)-beta-Ocimene
C00526	Deoxyuridine
C00835	Sepiapterin
C00521	(-)-Limonene
C00522	(R)-Pantoate
C00831	Pantetheine
C07308	Cacodylate
C06789	Tetrachloroethene
C12088	4-Hydroxycinnamoylmethane
C07303	4-Hydroxy-3-methoxyphenyl-beta-hydroxypropanoyl-CoA
C07305	Products of ATP breakdown
C09629	beta-Caryophyllene
C00789	CDP-ribitol
C18048	N-Succinyl-L-citrulline
C04039	2,3-Dihydroxy-3-methylbutanoate
C11355	4-Amino-4-deoxychorismate
C11354	2-Hydroxy-cis-hex-2,4-dienoate
C11356	trans,trans,cis-Geranylgeranyl diphosphate
C00780	Serotonin
C04033	1,3,6,8-Naphthalenetetrol
C10772	Lupanine
C04037	1-Phospho-alpha-D-galacturonate
C00239	dCMP
C08276	3-(Methylthio)propanoate
C00230	3,4-Dihydroxybenzoate
C00231	D-Xylulose 5-phosphate
C00232	Succinate semialdehyde
C00233	4-Methyl-2-oxopentanoate
C00234	10-Formyltetrahydrofolate
C00235	Dimethylallyl diphosphate
C00237	CO
C20768	UDP-2-acetamido-2,6-dideoxy-beta-L-talose
C00011	CO2
C00013	Diphosphate
C00014	Ammonia
C00015	UDP
C00016	FAD
C00018	Pyridoxal phosphate
C00019	S-Adenosyl-L-methionine
C20764	Phytyl phosphate
C06568	O-Carbamoyl-deacetylcephalosporin C
C06569	7a-Hydroxy-O-carbamoyl-deacetylcephalosporin C
C01477	Apigenin
C04146	all-trans-Octaprenyl diphosphate
C04145	all-trans-Nonaprenyl diphosphate
C10175	Quercetin 3-(2G-xylosylrutinoside)
C04148	Phenylacetylglutamine
C00305	Magnesium cation
C00655	Xanthosine 5'-phosphate
C00300	Creatine
