C18685	Landomycin E
C05955	Prostaglandin C2
C20955	3-(Methylthio)acryloyl-CoA
C00846	3-Oxoadipate
C02477	alpha-Tocopherol
C15941	(3R,2'S)-Myxol 2'-alpha-L-fucoside
C17954	Albaflavenone
C02200	UDP-glucosamine
C20668	3-Dehydro-D-glucose 6-phosphate
C00620	alpha-D-Ribose 1-phosphate
C04646	6-Thioinosine-5'-monophosphate
C15937	(3R,2'S)-Myxol 2'-(2,4-di-O-methyl-alpha-L-fucoside)
C14120	2-Naphthoyl-CoA
C01998	Acrylonitrile
C12106	AminoDAHP
C00389	Quercetin
C11870	Gibberellin A8-catabolite
C17735	7-Oxatyphasterol
C16677	all-trans-4-Hydroxyretinoic acid
C02817	Chlordecone alcohol
C17959	alpha-L-Rhamnosyl-(1->3)-alpha-D-galactosyl-diphosphoundecaprenol
C16518	S-(Indolylmethylthiohydroximoyl)-L-cysteine
C18270	Benzo[a]pyrene-cis-4,5-dihydrodiol
C18274	7,8-Dihydropyrene-7-carboxylate
C11414	(4S,7R)-4-Isopropenyl-7-methyl-2-oxo-oxepanone
C07722	3,4-Dihydroxy-3,4-dihydro-9-fluorenone
C20509	2'-Dehydrokanamycin A
C11418	(3S,6S)-6-Isopropenyl-3-methyl-2-oxo-oxepanone
C20664	(-)-Bornyl diphosphate
C21339	4-Deoxy-4-thio-alpha-D-digitoxosyl-calicheamicin T0
C14842	Bromobenzene-2,3-dihydrodiol
C16495	2-Deoxyecdysone
C05315	Palmatine
C04599	1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine
C20417	2,4-Dihydroxy-6-pentylbenzoate
C11990	Oleandolide
C01593	Limonoate
C11637	3alpha,12alpha-Dihydroxy-5beta-chol-6-enoate
C00147	Adenine
C13051	Nicotinic acid adenine dinucleotide phosphate
C20501	(1'S,5'R)-5'-Hydroxyaverantin
C04056	Rumenic acid
C02759	alpha-Pinene-oxide
C05575	Hercynine
C12108	5-Amino-5-deoxy-3-dehydroshikimate
