C00109	C05984	-R01000
C00002	C00008	R03632
C00002	C02729	R03632
C01609	C00008	R03632
C01609	C02729	R03632
C00008	C01609	-R03632
C02729	C01609	-R03632
C01613	C05404	R03635
C01613	C00095	R03635
C00001	C05404	R03635
C00001	C00095	R03635
C00361	C00286	-R01858
C00074	C00286	-R01858
C00361	C00022	-R01858
C00074	C00022	-R01858
C00104	C00022	-R00724
C00074	C00022	-R00724
C00081	C00130	R00720
C00081	C00013	R00720
C00001	C00130	R00720
C00001	C00013	R00720
C00236	C00118	-R01061
C00085	C00279	R01067
C00085	C00231	R01067
C00118	C00279	R01067
C00118	C00231	R01067
C00279	C00085	-R01067
C00231	C00085	-R01067
C00279	C00118	-R01067
C00231	C00118	-R01067
C00673	C00118	R01066
C00673	C00084	R01066
C00118	C00673	-R01066
C00084	C00673	-R01066
C00354	C00111	R01068
C00354	C00118	R01068
C00111	C00354	-R01068
C00118	C00354	-R01068
C01094	C00111	R02568
C01094	C00577	R02568
C00111	C01094	-R02568
C00577	C01094	-R02568
C00022	C00256	-R00704
C00022	C00186	-R00703
C00002	C00008	R01547
C00002	C00206	R01547
C00360	C00008	R01547
C00360	C00206	R01547
C00008	C00360	-R01547
C00206	C00360	-R01547
C00101	C00008	R00943
C00101	C00009	R00943
C00101	C00234	R00943
C00058	C00008	R00943
C00058	C00009	R00943
C00058	C00234	R00943
C00002	C00008	R00943
C00002	C00009	R00943
C00002	C00234	R00943
C00008	C00058	-R00943
C00234	C00058	-R00943
C00068	C03028	R11319
C00068	C00020	R11319
C00008	C03028	R11319
C00008	C00020	R11319
C03028	C00008	-R11319
C00020	C00008	-R11319
C00062	C00327	R00552
C00062	C00014	R00552
C00001	C00327	R00552
C00001	C00014	R00552
C00002	C00020	R01049
C00002	C00119	R01049
C00117	C00020	R01049
C00117	C00119	R01049
C00020	C00117	-R01049
C00119	C00117	-R01049
C11434	C11435	R05633
C11434	C00013	R05633
C00063	C11435	R05633
C00063	C00013	R05633
C11435	C11434	-R05633
C11435	C11436	R05634
C11435	C00008	R05634
C00002	C11436	R05634
C00002	C00008	R05634
C11436	C11435	-R05634
C00008	C11435	-R05634
C00022	C11437	R05636
C00022	C00011	R05636
C00118	C11437	R05636
C00118	C00011	R05636
C11436	C11453	R05637
C11436	C00055	R05637
C00349	C01188	-R02047
C00555	C00334	R02549
C00555	C00004	R02549
C00555	C00080	R02549
C00003	C00334	R02549
C00003	C00004	R02549
C00003	C00080	R02549
C00001	C00334	R02549
C00001	C00004	R02549
C00001	C00080	R02549
C00352	C00085	R00765
C00352	C00014	R00765
C00001	C00085	R00765
C00001	C00014	R00765
C00063	C00112	R00767
C00063	C00354	R00767
C00085	C00112	R00767
C00085	C00354	R00767
C00112	C00085	-R00767
C00354	C00085	-R00767
C01097	C03785	R03236
C01097	C00008	R03236
C00002	C03785	R03236
C00002	C00008	R03236
C00063	C00112	R03237
C00063	C03785	R03237
