C00109	C05984	-R01000
C01613	C00095	R03635
C01613	C05404	R03635
C00361	C00286	-R01858
C00074	C00022	-R01858
C00074	C00022	-R00724
C00236	C00118	-R01061
C00118	C00231	R01067
C00085	C00279	R01067
C00231	C00118	-R01067
C00279	C00085	-R01067
C00673	C00084	R01066
C00673	C00118	R01066
C00084	C00673	-R01066
C00118	C00673	-R01066
C00354	C00111	R01068
C00354	C00118	R01068
C00111	C00354	-R01068
C00118	C00354	-R01068
C01094	C00111	R02568
C01094	C00577	R02568
C00111	C01094	-R02568
C00577	C01094	-R02568
C00022	C00256	-R00704
C00022	C00186	-R00703
C00360	C00206	R01547
C00206	C00360	-R01547
C00058	C00234	R00943
C00234	C00058	-R00943
C00062	C00327	R00552
C00117	C00119	R01049
C00119	C00117	-R01049
C11434	C11435	R05633
C11435	C11434	-R05633
C11435	C11436	R05634
C11436	C11435	-R05634
C00118	C11437	R05636
C11436	C00055	R05637
C11436	C11453	R05637
C00349	C01188	-R02047
C00555	C00334	R02549
C00352	C00085	R00765
C00085	C00354	R00767
C00354	C00085	-R00767
C01097	C03785	R03236
C01097	C03785	R03237
C01097	C03785	R03238
C01097	C03785	R03239
C00212	C00147	R01561
C00147	C00212	-R01561
C00214	C00364	R01567
C00526	C00106	R02484
C00106	C00526	-R02484
C05985	C00804	R02940
C00089	C00095	R00801
C00089	C00031	R00801
C00089	C02336	R00802
C00089	C00267	R00802
C00074	C00022	-R00572
C00064	C00025	R00573
C01185	C00857	R03005
C11811	C11453	R10859
C11453	C11811	-R10859
C01762	C00385	R02297
C00385	C01762	-R02297
C05841	C00253	R02295
C00253	C05841	-R02295
C03150	C00153	R02294
C01101	C00231	R05850
C00231	C01101	-R05850
C00357	C04257	R02087
C04257	C00357	-R02087
C06754	C06755	R05286
C05356	C04805	R07034
C04805	C05356	-R07034
C05966	C04742	R07035
C04742	C05966	-R07035
C00579	C00248	R01698
C00248	C00579	-R01698
C00199	C00231	R01529
C00231	C00199	-R01529
C00170	C00147	R01401
C00170	C03089	R01401
C00020	C00008	R00127
C00008	C00020	-R00127
C00188	C20641	R10463
C00577	C00258	R01752
C06002	C02170	R03869
C00064	C00025	R00256
C02576	C11924	R06366
C00445	C00234	R01655
C00234	C00445	-R01655
C00530	C06187	-R05133
C01172	C06187	-R05133
C00143	C00415	R02101
C00365	C00364	R02101
C00460	C00365	R02100
C14899	C03291	R07125
C00555	C00334	R01986
C11811	C00235	-R08210
C00668	C05345	R02740
C05345	C00668	-R02740
C05512	C00262	R02748
C00262	C05512	-R02748
C00129	C04574	R06447
C00448	C04574	R06447
C00093	C00111	R00848
C00111	C00093	-R00848
C00111	C00093	-R00844
C00116	C00093	R00847
C00093	C00116	-R00847
C00111	C00093	-R00842
C04051	C04677	-R04378
C00957	C05823	-R03104
C16241	C16238	R07770
C11811	C00129	R05884
C11736	C04242	R08233
