-R01000	2-hydroxybutyrate:NAD+ oxidoreductase
R03632	ATP:protamine O-phosphotransferase
-R03632	ATP:protamine O-phosphotransferase
R03635	Stachyose fructohydrolase
-R01858	dGTP:pyruvate 2-O-phosphotransferase
-R00724	ITP:pyruvate 2-O-phosphotransferase
R00720	Inosine 5'-triphosphate pyrophosphohydrolase
-R01061	D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)
R01067	D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase
-R01067	D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase
R01066	2-deoxy-D-ribose-5-phosphate acetaldehyde-lyase (D-glyceraldehyde-3-phosphate-forming)
-R01066	2-deoxy-D-ribose-5-phosphate acetaldehyde-lyase (D-glyceraldehyde-3-phosphate-forming)
R01068	D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)
-R01068	D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)
R02568	D-fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase
-R02568	D-fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase
-R00704	(R)-Lactate:NAD+ oxidoreductase
-R00703	(S)-Lactate:NAD+ oxidoreductase
R01547	ATP:dAMP phosphotransferase
-R01547	ATP:dAMP phosphotransferase
R00943	Formate:tetrahydrofolate ligase (ADP-forming)
-R00943	Formate:tetrahydrofolate ligase (ADP-forming)
R11319	ADP:thiamin-diphosphate phosphotransferase
-R11319	ADP:thiamin-diphosphate phosphotransferase
R00552	L-Arginine iminohydrolase
R01049	ATP:D-ribose-5-phosphate diphosphotransferase
-R01049	ATP:D-ribose-5-phosphate diphosphotransferase
R05633	CTP: 2-C-Methyl-D-erythritol 4-phosphate cytidylyltransferase
-R05633	CTP: 2-C-Methyl-D-erythritol 4-phosphate cytidylyltransferase
R05634	ATP:4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol 2-phosphotransferase
-R05634	ATP:4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol 2-phosphotransferase
R05636	1-Deoxy-D-xylulose-5-phosphate pyruvate-lyase (carboxylating)
R05637	2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol CMP-lyase (cyclizing)
-R02047	3-Hydroxy-2-methylpropanoate:NAD+ oxidoreductase
R02549	4-aminobutanal:NAD+ 1-oxidoreductase
R00765	D-glucosamine-6-phosphate aminohydrolase (ketol isomerizing)
R00767	CTP:D-fructose-6-phosphate 1-phosphotransferase
-R00767	CTP:D-fructose-6-phosphate 1-phosphotransferase
R03236	ATP:D-tagatose-6-phosphate 1-phosphotransferase
R03237	CTP:D-tagatose 6-phosphate 1-phosphotransferase
R03238	UTP:D-tagatose 6-phosphate 1-phosphotransferase
R03239	ITP:D-tagatose 6-phosphate 1-phosphotransferase
R01561	adenosine:phosphate alpha-D-ribosyltransferase
-R01561	adenosine:phosphate alpha-D-ribosyltransferase
R01567	ATP:thymidine 5'-phosphotransferase
R02484	deoxyuridine:orthophosphate 2-deoxy-D-ribosyltransferase
-R02484	deoxyuridine:orthophosphate 2-deoxy-D-ribosyltransferase
R02940	2-Propyn-1-al:NAD+ oxidoreductase
R00161	ATP:FMN adenylyltransferase
