C00544	Homogentisate
C01019	6-Deoxy-L-galactose
C00364	dTMP
C00131	dATP
C00458	dCTP
C01142	(3S)-3,6-Diaminohexanoate
C00024	Acetyl-CoA
C00133	D-Alanine
C00208	Maltose
C00655	Xanthosine 5'-phosphate
C14800	1-Nitronaphthalene-5,6-oxide
C01222	GDP-4-dehydro-6-deoxy-D-mannose
C04309	Phosphoenol-4-deoxy-3-tetrulosonate
C00099	beta-Alanine
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide
C03972	2,3,4,5-Tetrahydrodipicolinate
C02970	Decaprenol phosphate
C00032	Heme
C21330	Aurachin C
C00029	UDP-glucose
C05125	2-(alpha-Hydroxyethyl)thiamine diphosphate
C18239	Precursor Z
C16633	5-Fluorouridine
C16476	4-Fluoromuconolactone
C21016	Ophthalmate
C00468	Estrone
C00233	4-Methyl-2-oxopentanoate
C04895	7,8-Dihydroneopterin 3'-triphosphate
C00118	D-Glyceraldehyde 3-phosphate
C00166	Phenylpyruvate
C21751	5-Fluorodeoxyuridine triphosphate
C00197	3-Phospho-D-glycerate
C00411	Sinapoyl-CoA
C18243	2,3,5-Trichloromaleylacetate
C02637	3-Dehydroshikimate
C02709	N-(Acetyloxy)benzenamine
C04574	di-trans,poly-cis-Undecaprenyl diphosphate
C00842	dTDP-glucose
C05966	15(S)-HPETE
C05576	3,4-Dihydroxyphenylethyleneglycol
C16519	2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate
C06506	Adenosyl cobyrinate a,c diamide
C15672	Heme O
C00234	10-Formyltetrahydrofolate
C19968	8-Oxo-dGMP
C19871	Guanylyl molybdenum cofactor
C00417	cis-Aconitate
C21331	Aurachin C epoxide
C01099	L-Fuculose 1-phosphate
C16333	3-Hydroxy-OPC6-CoA
C07086	Phenylacetic acid
C00198	D-Glucono-1,5-lactone
C15886	3,4-Dihydroanhydrorhodovibrin
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate
C01228	Guanosine 3',5'-bis(diphosphate)
C05819	Menaquinol
C00447	Sedoheptulose 1,7-bisphosphate
C21619	(2-Hydroxy-1H-indol-3-yl)acetate
C00111	Glycerone phosphate
C00167	UDP-glucuronate
C04582	S-Methyl-5-thio-D-ribulose 1-phosphate
C01181	4-Trimethylammoniobutanoate
C00119	5-Phospho-alpha-D-ribose 1-diphosphate
C04823	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole
C19876	alpha-Kdo-(2->8)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA
C14871	S-(Formylmethyl)glutathione
C00231	D-Xylulose 5-phosphate
C21017	2-(alpha-Hydroxypropyl)thiamine diphosphate
C00624	N-Acetyl-L-glutamate
C04752	4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate
C00035	GDP
C03058	2-Hydroxyglutaryl-CoA
C02630	2-Hydroxyglutarate
C04411	(2R,3S)-3-Isopropylmalate
C04807	6-Hydroxymethyl-7,8-dihydropterin diphosphate
C02097	dTDP-galactose
C00366	Urate
C03406	N-(L-Arginino)succinate
C00180	Benzoate
C00526	Deoxyuridine
C03232	3-Phosphonooxypyruvate
C05699	L-Selenocystathionine
C04666	D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate
C16619	6-Thioguanosine monophosphate
C00147	Adenine
C01031	S-Formylglutathione
C01077	O-Acetyl-L-homoserine
C06505	Cob(I)yrinate a,c diamide
C01291	3-(4-Methylpent-3-en-1-yl)pent-2-enedioyl-CoA
C05273	trans-Tetradec-2-enoyl-CoA
C00299	Uridine
C01144	(S)-3-Hydroxybutanoyl-CoA
C06615	cis-3-Chloroacrylic acid
C21027	N-Acetylmuramic acid alpha-1-phosphate
C05698	Selenohomocysteine
C16502	Farnesoic acid
C14859	Chloroacetyl chloride
C04702	UDPMurNAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)
C18304	2-Chloro-5-methyl-cis-dienelactone
C00242	Guanine
C05839	cis-beta-D-Glucosyl-2-hydroxycinnamate
C00160	Glycolate
C00531	Itaconyl-CoA
C16329	3-Hydroxy-OPC8-CoA
C00463	Indole
C01107	(R)-5-Phosphomevalonate
C00870	4-Nitrophenol
C00469	Ethanol
C06148	2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine
C00164	Acetoacetate
C00437	N-Acetylornithine
C01165	L-Glutamate 5-semialdehyde
C03462	3''-Adenylylstreptomycin
C16143	(1E,4S,5E,7R)-Germacra-1(10),5-dien-11-ol
C02501	2-Hydroxymuconate
C03453	gamma-Oxalocrotonate
C00105	UMP
C18096	D-Allulose 6-phosphate
C05270	Hexanoyl-CoA
C16466	7-Methyl-3-oxo-6-octenoyl-CoA
C00140	N-Acetyl-D-glucosamine
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine
C01079	Protoporphyrinogen IX
C04281	L-1-Pyrroline-3-hydroxy-5-carboxylate
C20248	7-Carboxy-7-carbaguanine
C05268	(S)-Hydroxyhexanoyl-CoA
C18902	Methylselenic acid
C05668	3-Hydroxypropionyl-CoA
C11354	2-Hydroxy-cis-hex-2,4-dienoate
C02741	Phosphoribosyl-AMP
C00797	Ethylamine
C00346	Ethanolamine phosphate
C03069	3-Methylcrotonyl-CoA
C02962	D-Allose 6-phosphate
C01213	(R)-Methylmalonyl-CoA
C02214	(E)-Glutaconate
C00295	Orotate
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine
C05575	Hercynine
C03440	cis-4-Hydroxy-D-proline
C03451	(R)-S-Lactoylglutathione
C11004	2,6-Dimethylaniline
C04919	2,3,2'3'-Tetrakis(3-hydroxytetradecanoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate
C01103	Orotidine 5'-phosphate
C11355	4-Amino-4-deoxychorismate
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol
C14791	(1R)-Hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene
C05381	3-Carboxy-1-hydroxypropyl-ThPP
C00153	Nicotinamide
C05635	5-Hydroxyindoleacetate
C00818	D-Glucarate
C00669	gamma-L-Glutamyl-L-cysteine
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide
C00008	ADP
C15556	L-3,4-Dihydroxybutan-2-one 4-phosphate
C04706	cis-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide
C15976	2-Methyl-1-hydroxypropyl-ThPP
C05686	Adenylylselenate
C01102	O-Phospho-L-homoserine
C01825	L-Galactose
C01100	L-Histidinol phosphate
C00804	Propynoate
C03680	4-Imidazolone-5-propanoate
C00178	Thymine
C00568	4-Aminobenzoate
C01762	Xanthosine
C01092	8-Amino-7-oxononanoate
C16635	5'-Deoxy-5-fluorocytidine
C03150	Nicotinamide-beta-riboside
C16565	Aminopropylcadaverine
C00100	Propanoyl-CoA
C15978	2-Methyl-1-hydroxybutyl-ThPP
C05703	Methaneselenol
C01104	Trimethylamine N-oxide
C12623	trans-2,3-Dihydroxycinnamate
C02356	(S)-2-Aminobutanoate
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine
C00103	D-Glucose 1-phosphate
C14858	2,2-Dichloroacetaldehyde
C01267	3-(Imidazol-4-yl)-2-oxopropyl phosphate
C02336	beta-D-Fructose
C02659	Acetone cyanohydrin
C12838	trans-4-Carboxymethylenebut-2-en-4-olide
C15547	1,4-Dihydroxy-2-naphthoyl-CoA
C00631	2-Phospho-D-glycerate
C15892	Chloroxanthin
C11735	N-Ethylglycine
C05581	3-Methoxy-4-hydroxyphenylacetaldehyde
C05551	Penicillin G
C00636	D-Mannose 1-phosphate
C21141	4-Hydroxy-2-methyl-3-oxo-4-[(2E,6E)-farnesyl]-3,4-dihydroquinoline 1-oxide
C05432	Lycopene
C03263	Coproporphyrinogen III
C03117	GDP-6-deoxy-D-mannose
C00617	UDP-D-galacturonate
C05258	(S)-3-Hydroxyhexadecanoyl-CoA
C00067	Formaldehyde
C20641	L-Threonylcarbamoyladenylate
C16337	3-Hydroxy-OPC4-CoA
C00632	3-Hydroxyanthranilate
C05431	all-trans-Neurosporene
C07118	Benzoylacetyl-CoA
C00074	Phosphoenolpyruvate
C00250	Pyridoxal
C18309	3-Chloro-2-methyldienelactone
C00424	(S)-Lactaldehyde
C02700	L-Formylkynurenine
