R07522	-R07522
R07528	-R07528
R03632	-R03632
R01856	-R01856
R01857	-R01857
R01859	-R01859
R03182	-R03182
R00726	-R00726
R00722	-R00722
R01067	-R01067
R01066	-R01066
R01068	-R01068
R03371	-R03371
R01280	-R01280
R00885	-R00885
R00089	-R00089
R03471	-R03471
R11149	-R11149
R11148	-R11148
R11147	-R11147
R02568	-R02568
R00709	-R00709
R04734	-R04734
R04738	-R04738
R01547	-R01547
R01548	-R01548
R00943	-R00943
R11319	-R11319
R07268	-R07268
R01049	-R01049
R03399	-R03399
R03397	-R03397
R05630	-R05630
R00768	-R00768
R00760	-R00760
R00764	-R00764
R00767	-R00767
R08926	-R08926
R01385	-R01385
R03231	-R03231
R01561	-R01561
R02484	-R02484
R04444	-R04444
R04445	-R04445
R03494	-R03494
R00161	-R00161
R00570	-R00570
R00571	-R00571
R07245	-R07245
R01717	-R01717
R02060	-R02060
R06838	-R06838
R00291	-R00291
R00742	-R00742
R02291	-R02291
R02297	-R02297
R02296	-R02296
R02295	-R02295
R01071	-R01071
R03210	-R03210
R09366	-R09366
R09365	-R09365
R00104	-R00104
R10992	-R10992
R03026	-R03026
R03024	-R03024
R03596	-R03596
R00137	-R00137
R07034	-R07034
R07035	-R07035
R01698	-R01698
R03276	-R03276
R03275	-R03275
R01520	-R01520
R01521	-R01521
R01528	-R01528
R01529	-R01529
R01402	-R01402
R05595	-R05595
R05197	-R05197
R00127	-R00127
R11730	-R11730
R08924	-R08924
R03045	-R03045
R07893	-R07893
R00461	-R00461
R09750	-R09750
R03868	-R03868
R04673	-R04673
R00253	-R00253
R01324	-R01324
R01325	-R01325
R02124	-R02124
R03066	-R03066
R02331	-R02331
R00025	-R00025
R04147	-R04147
R05509	-R05509
R03884	-R03884
R07093	-R07093
R01655	-R01655
R04688	-R04688
R04687	-R04687
R02740	-R02740
R02748	-R02748
R00428	-R00428
R00429	-R00429
R00420	-R00420
R00848	-R00848
R00847	-R00847
R09790	-R09790
R02914	-R02914
R12063	-R12063
R01920	-R01920
R03296	-R03296
R00189	-R00189
R11579	-R11579
R00405	-R00405
R00401	-R00401
R08233	-R08233
R08232	-R08232
R08237	-R08237
R02372	-R02372
R11895	-R11895
R11896	-R11896
R10564	-R10564
R03920	-R03920
R00130	-R00130
R00235	-R00235
R01942	-R01942
R02147	-R02147
R04640	-R04640
R04420	-R04420
R01137	-R01137
R01135	-R01135
R07100	-R07100
R10092	-R10092
R07279	-R07279
R12024	-R12024
R07675	-R07675
R01056	-R01056
R01057	-R01057
R00948	-R00948
R00945	-R00945
R07023	-R07023
R01090	-R01090
R03947	-R03947
R07026	-R07026
R07025	-R07025
R07024	-R07024
R00372	-R00372
R03132	-R03132
R01158	-R01158
R02262	-R02262
R10523	-R10523
R10520	-R10520
R00891	-R00891
R11073	-R11073
R00585	-R00585
R00586	-R00586
R00588	-R00588
R00967	-R00967
R00966	-R00966
R00962	-R00962
R00968	-R00968
R01216	-R01216
R01214	-R01214
R04930	-R04930
R04936	-R04936
R05510	-R05510
R08165	-R08165
R00355	-R00355
R02245	-R02245
R01900	-R01900
R10052	-R10052
R04035	-R04035
R04037	-R04037
R11013	-R11013
R07516	-R07516
R00658	-R00658
R09749	-R09749
R05681	-R05681
R00332	-R00332
R00330	-R00330
R01827	-R01827
R01829	-R01829
R05052	-R05052
R02222	-R02222
R08946	-R08946
R11386	-R11386
R10137	-R10137
R01737	-R01737
R02413	-R02413
R07105	-R07105
R01786	-R01786
R03321	-R03321
R00925	-R00925
R00310	-R00310
R08121	-R08121
R08120	-R08120
R01665	-R01665
R04206	-R04206
R04204	-R04204
R04200	-R04200
R04201	-R04201
R04208	-R04208
R04560	-R04560
R10907	-R10907
R09735	-R09735
R02433	-R02433
R00694	-R00694
R01011	-R01011
R01015	-R01015
R03349	-R03349
R05576	-R05576
R10221	-R10221
R04224	-R04224
R07083	-R07083
R07084	-R07084
R01863	-R01863
R07889	-R07889
R00734	-R00734
R04509	-R04509
R00509	-R00509
R01070	-R01070
R04487	-R04487
R06861	-R06861
R06863	-R06863
R07532	-R07532
R07536	-R07536
R07539	-R07539
R01843	-R01843
R04746	-R04746
R04744	-R04744
R04740	-R04740
R04749	-R04749
R00156	-R00156
R00158	-R00158
R08572	-R08572
R10948	-R10948
R00899	-R00899
R09726	-R09726
R07519	-R07519
R03601	-R03601
R02557	-R02557
R00771	-R00771
R07116	-R07116
R07113	-R07113
R01557	-R01557
R01556	-R01556
R08856	-R08856
R11306	-R11306
R00549	-R00549
R11937	-R11937
R03018	-R03018
R05629	-R05629
R01881	-R01881
R02619	-R02619
R02530	-R02530
R02539	-R02539
R00751	-R00751
R02288	-R02288
R03222	-R03222
R04286	-R04286
R01570	-R01570
R00434	-R00434
R00112	-R00112
R11329	-R11329
R11582	-R11582
R11581	-R11581
R02272	-R02272
R02073	-R02073
R09099	-R09099
R01181	-R01181
R02984	-R02984
R11383	-R11383
R11382	-R11382
R11385	-R11385
R11384	-R11384
R00289	-R00289
R07411	-R07411
R09959	-R09959
R09372	-R09372
R02869	-R02869
R02864	-R02864
R02863	-R02863
R04326	-R04326
R08244	-R08244
R08245	-R08245
R08240	-R08240
R08249	-R08249
R03050	-R03050
R03058	-R03058
R02283	-R02283
R01741	-R01741
R00832	-R00832
R02099	-R02099
R02098	-R02098
R02094	-R02094
R02096	-R02096
R02091	-R02091
R02090	-R02090
R02093	-R02093
R04137	-R04137
R10281	-R10281
R10280	-R10280
R00132	-R00132
R00139	-R00139
R01530	-R01530
R00479	-R00479
R06411	-R06411
R06412	-R06412
R03893	-R03893
R00260	-R00260
R00267	-R00267
R03243	-R03243
R03245	-R03245
R06942	-R06942
R02326	-R02326
R02323	-R02323
R02322	-R02322
R02328	-R02328
R04178	-R04178
R04170	-R04170
R04173	-R04173
R11894	-R11894
R09030	-R09030
R01641	-R01641
R06590	-R06590
R04436	-R04436
R02777	-R02777
R00431	-R00431
R02340	-R02340
R11889	-R11889
R12059	-R12059
R01595	-R01595
R00410	-R00410
R00416	-R00416
R00418	-R00418
R01123	-R01123
R00867	-R00867
R01795	-R01795
R02852	-R02852
R10991	-R10991
R01954	-R01954
R00959	-R00959
R03977	-R03977
R04475	-R04475
R02734	-R02734
R02735	-R02735
R02736	-R02736
R04657	-R04657
R04559	-R04559
R02670	-R02670
R12017	-R12017
R00590	-R00590
R10159	-R10159
R02199	-R02199
R02196	-R02196
R01086	-R01086
R01083	-R01083
R01082	-R01082
R04672	-R04672
R00199	-R00199
R05506	-R05506
R00369	-R00369
R08280	-R08280
R08281	-R08281
R01168	-R01168
R05085	-R05085
R07092	-R07092
R07094	-R07094
R07641	-R07641
R01993	-R01993
R01518	-R01518
R07897	-R07897
R04266	-R04266
R04929	-R04929
R04928	-R04928
R10279	-R10279
R00344	-R00344
R01830	-R01830
R00833	-R00833
R04000	-R04000
R11024	-R11024
R03595	-R03595
R08639	-R08639
R06578	-R06578
R02404	-R02404
R02408	-R02408
R00667	-R00667
R09409	-R09409
R01226	-R01226
R01221	-R01221
R01220	-R01220
R04941	-R04941
R04942	-R04942
R04945	-R04945
R04944	-R04944
R04946	-R04946
R02797	-R02797
R04325	-R04325
R01812	-R01812
R01818	-R01818
R05048	-R05048
R05220	-R05220
R01600	-R01600
R03084	-R03084
R03530	-R03530
R07543	-R07543
R01870	-R01870
R01876	-R01876
R03503	-R03503
R03504	-R03504
R03509	-R03509
R08093	-R08093
R01492	-R01492
R08359	-R08359
R04770	-R04770
R04771	-R04771
R00769	-R00769
R08575	-R08575
R00835	-R00835
R08251	-R08251
R00516	-R00516
R00517	-R00517
R00512	-R00512
R00513	-R00513
