C00025	L-Glutamate
C00024	Acetyl-CoA
C00148	L-Proline
C00026	2-Oxoglutarate
C00021	S-Adenosyl-L-homocysteine
C00020	AMP
C00022	Pyruvate
C00143	5,10-Methylenetetrahydrofolate
C00141	3-Methyl-2-oxobutanoic acid
C05527	3-Sulfinylpyruvate
C00027	Hydrogen peroxide
C00144	GMP
C00942	3',5'-Cyclic GMP
C00149	(S)-Malate
C00944	3-Dehydroquinate
C05993	Acetyl adenylate
C14819	Fe3+
C14818	Fe2+
C06313	Biopterin
C00857	Deamino-NAD+
C00438	N-Carbamoyl-L-aspartate
C00439	N-Formimino-L-glutamate
C00536	Triphosphate
C04501	N-Acetyl-alpha-D-glucosamine 1-phosphate
C00704	O2.-
C20995	gamma-L-Glutamyl-S-(hercyn-2-yl)-L-cysteine S-oxide
C04874	7,8-Dihydroneopterin
C01185	Nicotinate D-ribonucleotide
C02637	3-Dehydroshikimate
C01187	3-Deoxy-D-manno-octulosonate
C01186	(3S,5S)-3,5-Diaminohexanoate
C00029	UDP-glucose
C00493	Shikimate
C05852	2-Hydroxyphenylacetate
C01134	Pantetheine 4'-phosphate
C02130	Acetyl-maltose
C00224	Adenylyl sulfate
C01236	D-Glucono-1,5-lactone 6-phosphate
C00221	beta-D-Glucose
C00387	Guanosine
C02504	alpha-Isopropylmalate
C00380	Cytosine
C00262	Hypoxanthine
C00544	Homogentisate
C00542	Cystathionine
C02291	L-Cystathionine
C00009	Orthophosphate
C00008	ADP
C00007	Oxygen
C00006	NADP+
C00005	NADPH
C00004	NADH
C00003	NAD+
C00002	ATP
C00001	H2O
C05702	O-Phosphorylhomoserine
C04259	N,N-Dimethylhistidine
C00966	2-Dehydropantoate
C21008	7,8-Dihydromonapterin
C06232	Molybdate
C00418	(R)-Mevalonate
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide
C00417	cis-Aconitate
C01007	Reduced riboflavin
C00645	N-Acetyl-D-mannosamine
C00099	beta-Alanine
C00311	Isocitrate
C01528	Hydrogen selenide
C00091	Succinyl-CoA
C00092	D-Glucose 6-phosphate
C00093	sn-Glycerol 3-phosphate
C00094	Sulfite
C00095	D-Fructose
C00097	L-Cysteine
C05821	Enterochelin
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine
C04006	1D-myo-Inositol 3-phosphate
C05172	Selenophosphoric acid
C05575	Hercynine
C00242	Guanine
C00979	O-Acetyl-L-serine
C00617	UDP-D-galacturonate
C00164	Acetoacetate
C00166	Phenylpyruvate
C00167	UDP-glucuronate
