C02631	2-Isopropylmaleate
C00100	Propanoyl-CoA
C06416	Precorrin 5
C03741	(S)-4-Amino-5-oxopentanoate
C00603	(S)-Ureidoglycolate
C00596	2-Hydroxy-2,4-pentadienoate
C03506	Indoleglycerol phosphate
C00313	Oxalyl-CoA
C12248	5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate
C00493	Shikimate
C05998	3-Hydroxyisovaleryl-CoA
C00302	Glutamate
C03406	N-(L-Arginino)succinate
C02637	3-Dehydroshikimate
C02222	2-Maleylacetate
C04421	N-Succinyl-LL-2,6-diaminoheptanedioate
C00647	Pyridoxamine phosphate
C14791	(1R)-Hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene
C02713	N-Acetylmuramate
C00433	2,5-Dioxopentanoate
C04405	(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA
C04554	3alpha,7alpha-Dihydroxy-5beta-cholestanate
C00512	Benzoyl-CoA
C05691	Se-Adenosylselenomethionine
C02225	2-Methylcitrate
C06426	(6Z,9Z,12Z)-Octadecatrienoic acid
C11436	2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol
C15966	3-Hydroxyechinenone
C08580	Astaxanthin
C18239	Precursor Z
C00645	N-Acetyl-D-mannosamine
C00355	3,4-Dihydroxy-L-phenylalanine
C15965	3'-Hydroxyechinenone
C00361	dGDP
C14909	9alpha-Hydroxyandrosta-1,4-diene-3,17-dione
C00164	Acetoacetate
C06510	Adenosine-GDP-cobinamide
C00376	Retinal
C00378	Thiamine
C00119	5-Phospho-alpha-D-ribose 1-diphosphate
C03089	5-Methylthio-D-ribose
C05809	3-Octaprenyl-4-hydroxybenzoate
C00020	AMP
C00268	Dihydrobiopterin
C11945	trans-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA
C02612	(R)-2-Methylmalate
C00311	Isocitrate
C02411	Glutaconyl-1-CoA
C00601	Phenylacetaldehyde
C14851	Benzo[a]pyrene-4,5-oxide
C16335	OPC4-CoA
C11539	Cobalt-precorrin 3
C04324	(1E,3E)-4-Hydroxybuta-1,3-diene-1,2,4-tricarboxylate
C00295	Orotate
C15996	7-Cyano-7-carbaguanine
C00966	2-Dehydropantoate
C19871	Guanylyl molybdenum cofactor
C21008	7,8-Dihydromonapterin
C11946	cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA
C06010	(S)-2-Acetolactate
C01832	Lauroyl-CoA
C04702	UDPMurNAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)
C00093	sn-Glycerol 3-phosphate
C04932	Lipid A disaccharide
C00944	3-Dehydroquinate
C00692	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate
C15672	Heme O
C14800	1-Nitronaphthalene-5,6-oxide
C01218	6-Phospho-2-dehydro-D-gluconate
C05266	(S)-3-Hydroxyoctanoyl-CoA
C00315	Spermidine
C04282	1-Pyrroline-4-hydroxy-2-carboxylate
C01157	Hydroxyproline
C04844	3-Hydroxy-5,9,17-trioxo-4,5:9,10-disecoandrosta-1(10),2-dien-4-oate
C16476	4-Fluoromuconolactone
C03283	L-2,4-Diaminobutanoate
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine
C03194	(R)-1-Aminopropan-2-ol
