C00025	L-Glutamate
C00024	Acetyl-CoA
C00148	L-Proline
C00026	2-Oxoglutarate
C00020	AMP
C00022	Pyruvate
C00143	5,10-Methylenetetrahydrofolate
C00141	3-Methyl-2-oxobutanoic acid
C00029	UDP-glucose
C00147	Adenine
C00144	GMP
C00942	3',5'-Cyclic GMP
C00149	(S)-Malate
C00944	3-Dehydroquinate
C05993	Acetyl adenylate
C14819	Fe3+
C14818	Fe2+
C00431	5-Aminopentanoate
C00436	N-Carbamoylputrescine
C00437	N-Acetylornithine
C00533	Nitric oxide
C01755	Thiocyanate
C00438	N-Carbamoyl-L-aspartate
C00439	N-Formimino-L-glutamate
C00536	Triphosphate
C00822	Dopaquinone
C00497	(R)-Malate
C00704	O2.-
C01180	4-Methylthio-2-oxobutanoic acid
C02630	2-Hydroxyglutarate
C02631	2-Isopropylmaleate
C01185	Nicotinate D-ribonucleotide
C02637	3-Dehydroshikimate
C01187	3-Deoxy-D-manno-octulosonate
C01087	(R)-2-Hydroxyglutarate
C04225	(Z)-But-2-ene-1,2,3-tricarboxylate
C05852	2-Hydroxyphenylacetate
C00501	CDP-glucose
C01134	Pantetheine 4'-phosphate
C00227	Acetyl phosphate
C00224	Adenylyl sulfate
C01236	D-Glucono-1,5-lactone 6-phosphate
C00221	beta-D-Glucose
C01234	1-Aminocyclopropane-1-carboxylate
C00385	Xanthine
C00387	Guanosine
C02504	alpha-Isopropylmalate
C04593	(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate
C00544	Homogentisate
C01172	beta-D-Glucose 6-phosphate
C00366	Urate
C02291	L-Cystathionine
C00009	Orthophosphate
C00008	ADP
C00007	Oxygen
C00006	NADP+
C00005	NADPH
C00004	NADH
C00003	NAD+
C00002	ATP
C00001	H2O
C03589	4-Hydroxy-2-oxopentanoate
C00966	2-Dehydropantoate
C06232	Molybdate
C04895	7,8-Dihydroneopterin 3'-triphosphate
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide
C00417	cis-Aconitate
C00645	N-Acetyl-D-mannosamine
C00099	beta-Alanine
C00311	Isocitrate
C01528	Hydrogen selenide
C02225	2-Methylcitrate
C00091	Succinyl-CoA
C00092	D-Glucose 6-phosphate
C00093	sn-Glycerol 3-phosphate
C00094	Sulfite
C00096	GDP-mannose
C00097	L-Cysteine
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine
C19975	2-Oxepin-2(3H)-ylideneacetyl-CoA
