C05300	16alpha-Hydroxyestrone
C00499	Allantoate
C15777	Episterol
C03238	5alpha-Cholestan-3-one
C20641	L-Threonylcarbamoyladenylate
C00473	Retinol
C01267	3-(Imidazol-4-yl)-2-oxopropyl phosphate
C04409	2-Amino-3-carboxymuconate semialdehyde
C20267	4-Amino-5-aminomethyl-2-methylpyrimidine
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate
C00178	Thymine
C04145	all-trans-Nonaprenyl diphosphate
C01081	Thiamin monophosphate
C00475	Cytidine
C14864	S-(2-Chloroacetyl)glutathione
C18304	2-Chloro-5-methyl-cis-dienelactone
C01013	3-Hydroxypropanoate
C01077	O-Acetyl-L-homoserine
C14556	9-Hydroxybenzo[a]pyrene
C19574	4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol
C04556	4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine
C00385	Xanthine
C14787	(1S,2R)-Naphthalene 1,2-oxide
C05381	3-Carboxy-1-hydroxypropyl-ThPP
C16633	5-Fluorouridine
C00458	dCTP
C00437	N-Acetylornithine
C00233	4-Methyl-2-oxopentanoate
C02835	Imidazole-4-acetate
C04431	cis-4-Carboxymethylenebut-2-en-4-olide
C06316	Dehydro-D-arabinono-1,4-lactone
C11039	2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate
C00510	Oleoyl-CoA
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine
C04742	(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate
C04377	5,10-Methylenetetrahydromethanopterin
C00168	Hydroxypyruvate
C01230	all-trans-Hexaprenyl diphosphate
C16331	OPC6-CoA
C16470	5-Methylhex-4-enoyl-CoA
C06010	(S)-2-Acetolactate
C05921	Biotinyl-5'-AMP
C00519	Hypotaurine
C00818	D-Glucarate
C00189	Ethanolamine
C00387	Guanosine
C05768	Coproporphyrinogen I
C06459	N-Trimethyl-2-aminoethylphosphonate
C05103	4alpha-Methylzymosterol
C00212	Adenosine
C15672	Heme O
C00015	UDP
C14781	15H-11,12-EETA
C00620	alpha-D-Ribose 1-phosphate
C00315	Spermidine
C05345	beta-D-Fructose 6-phosphate
C00153	Nicotinamide
C00362	dGMP
C00262	Hypoxanthine
C04039	2,3-Dihydroxy-3-methylbutanoate
C05335	L-Selenomethionine
C00376	Retinal
C14853	Benzo[a]pyrene-7,8-dihydrodiol-9,10-oxide
C01220	1D-myo-Inositol 1,4-bisphosphate
C00921	Dihydropteroate
C09332	THF-L-glutamate
C00235	Dimethylallyl diphosphate
C01530	Octadecanoic acid
C00559	Deoxyadenosine
C04807	6-Hydroxymethyl-7,8-dihydropterin diphosphate
C00170	5'-Methylthioadenosine
C00093	sn-Glycerol 3-phosphate
C14850	Benzo[a]pyrene-7,8-oxide
C01083	alpha,alpha-Trehalose
C05861	alpha-D-Mannosyl-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol
C06868	Carbamazepine
C16374	(2E,6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosaheptaenoyl-CoA
C16596	5-Phenyl-1,3-oxazinane-2,4-dione
C00642	4-Hydroxyphenylacetate
C00314	Pyridoxine
C12144	Phytosphingosine
C00361	dGDP
C02631	2-Isopropylmaleate
C15783	5-Dehydroavenasterol
C13747	1,7-Dimethylxanthine
C00748	Siroheme
C16387	(2E,6Z,9Z,12Z,15Z,18Z)-Tetracosahexaenoyl-CoA
C00643	5-Hydroxy-L-tryptophan
C15606	1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one
C11088	1,2-Dibromoethane
C00352	D-Glucosamine 6-phosphate
C04036	1-Palmitoylglycerol 3-phosphate
C06615	cis-3-Chloroacrylic acid
C01143	(R)-5-Diphosphomevalonate
C06611	trans-3-Chloro-2-propene-1-ol
C14874	Glutathione episulfonium ion
C00369	Starch
C14806	1-Nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene
C00322	2-Oxoadipate
C00756	1-Octanol
C00319	Sphingosine
C02225	2-Methylcitrate
C00577	D-Glyceraldehyde
C03221	2-trans-Dodecenoyl-CoA
C00842	dTDP-glucose
C16547	Endoxifen
C03373	Aminoimidazole ribotide
C00857	Deamino-NAD+
C00570	CDP-ethanolamine
C15780	5-Dehydroepisterol
C14791	(1R)-Hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene
C04525	Fecosterol
C00826	L-Arogenate
C02356	(S)-2-Aminobutanoate
C05947	L-erythro-4-Hydroxyglutamate
C02741	Phosphoribosyl-AMP
C08825	Lophenol
C11537	(2R)-3-Sulfolactate
C21749	5-Fluorouridine triphosphate
C14865	2-(S-Glutathionyl)acetyl chloride
C00353	Geranylgeranyl diphosphate
C19594	Aflatoxin-M1-8,9-epoxide
C04188	S-Methyl-5-thio-D-ribose 1-phosphate
C01118	O-Succinyl-L-homoserine
C00527	Glutaryl-CoA
C00313	Oxalyl-CoA
C03681	5alpha-Pregnane-3,20-dione
C16216	3-Oxostearoyl-CoA
C06426	(6Z,9Z,12Z)-Octadecatrienoic acid
C02571	O-Acetylcarnitine
C04840	3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate
C19595	Aflatoxin B1-endo-8,9-epoxide
C14804	1-Nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene
C00008	ADP
C06612	cis-3-Chloro-2-propene-1-ol
C00219	Arachidonate
C04181	3-Hydroxy-3-methyl-2-oxobutanoic acid
C00417	cis-Aconitate
C00498	ADP-glucose
C06006	(S)-2-Aceto-2-hydroxybutanoate
C05382	Sedoheptulose 7-phosphate
C01236	D-Glucono-1,5-lactone 6-phosphate
C00364	dTMP
C02067	Pseudouridine
C05560	L-2-Aminoadipate adenylate
C15522	4a-Hydroxytetrahydrobiopterin
C01944	Octanoyl-CoA
C03232	3-Phosphonooxypyruvate
C06056	4-Hydroxy-L-threonine
C00067	Formaldehyde
C00365	dUMP
C21563	2-(Glutathione-S-yl)-hydroquinone
C21748	5-Fluorouridine diphosphate
C00156	4-Hydroxybenzoate
C00750	Spermine
C14800	1-Nitronaphthalene-5,6-oxide
C05284	11beta-Hydroxyandrost-4-ene-3,17-dione
C02946	4-Acetamidobutanoate
C00199	D-Ribulose 5-phosphate
C00266	Glycolaldehyde
C00103	D-Glucose 1-phosphate
C00392	Mannitol
C00493	Shikimate
C00489	Glutarate
C02630	2-Hydroxyglutarate
C06614	trans-3-Chloroacrylic acid
C02909	(2-Naphthyl)methanol
C00632	3-Hydroxyanthranilate
C00415	Dihydrofolate
C00295	Orotate
C00579	Dihydrolipoamide
C04322	Delta1-Pyrroline-5-carboxylate
C00250	Pyridoxal
C01243	1D-myo-Inositol 1,3,4-trisphosphate
C00163	Propanoate
C00860	L-Histidinol
C05860	beta-D-Mannosyldiacetylchitobiosyldiphosphodolichol
C14768	5,6-EET
C19489	1a,11b-Dihydro-4,9-dimethylbenz[a]anthra[3,4-b]oxirene
C05670	3-Aminopropiononitrile
C01762	Xanthosine
C05528	3-Sulfopyruvate
C05576	3,4-Dihydroxyphenylethyleneglycol
C00099	beta-Alanine
C12215	Iminoerythrose 4-phosphate
C05828	Methylimidazoleacetic acid
C04895	7,8-Dihydroneopterin 3'-triphosphate
C00035	GDP
C00345	6-Phospho-D-gluconate
C05378	beta-D-Fructose 1,6-bisphosphate
C00931	Porphobilinogen
C05627	4-Hydroxystyrene
C05703	Methaneselenol
C00526	Deoxyuridine
C00294	Inosine
C00951	Estradiol-17beta
C14849	Benzo[a]pyrene-9,10-oxide
C14871	S-(Formylmethyl)glutathione
C05298	2-Hydroxyestrone
C15527	Precorrin 1
C07091	cis-Acetylacrylate
C16453	4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone
C00954	Indole-3-acetate
C04814	4beta-Hydroxymethyl-4alpha-methyl-5alpha-cholest-7-en-3beta-ol
C16358	1-Methylxanthine
C01096	Sorbitol 6-phosphate
C14858	2,2-Dichloroacetaldehyde
C00534	Pyridoxamine
C00957	Mercaptopyruvate
C14847	3,4-Dihydro-3-hydroxy-4-S-glutathionyl bromobenzene
C00490	Itaconate
C05665	3-Aminopropanal
C00136	Butanoyl-CoA
C06055	O-Phospho-4-hydroxy-L-threonine
C01120	Sphinganine 1-phosphate
C00864	Pantothenate
C00091	Succinyl-CoA
C00512	Benzoyl-CoA
C05620	N-Acetyl-D-phenylalanine
C00363	dTDP
C05673	CMP-2-aminoethylphosphonate
C01284	1D-myo-Inositol 1,3,4,5,6-pentakisphosphate
C01024	Hydroxymethylbilane
C00043	UDP-N-acetyl-alpha-D-glucosamine
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide
C16217	3-Hydroxyoctadecanoyl-CoA
C01902	Cycloartenol
C05699	L-Selenocystathionine
C16356	1,7-Dimethyluric acid
C01967	Ubiquinone-9
C04411	(2R,3S)-3-Isopropylmalate
C00258	D-Glycerate
C00979	O-Acetyl-L-serine
C00299	Uridine
C18910	2,5-Diamino-6-(5-phospho-D-ribitylamino)pyrimidin-4(3H)-one
C06123	Hexadecenal
C00665	beta-D-Fructose 2,6-bisphosphate
C05966	15(S)-HPETE
C05674	CMP-N-trimethyl-2-aminoethylphosphonate
C02637	3-Dehydroshikimate
C06197	P1,P3-Bis(5'-adenosyl) triphosphate
C14040	1-Nitronaphthalene
C00346	Ethanolamine phosphate
C04327	4-Methyl-5-(2-phosphooxyethyl)thiazole
C04706	cis-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide
C00378	Thiamine
C11515	(E)-2-(Methoxycarbonylmethyl)butenedioate
C00147	Adenine
C07118	Benzoylacetyl-CoA
C04874	7,8-Dihydroneopterin
C00104	IDP
C02962	D-Allose 6-phosphate
C05582	Homovanillate
C18040	5alpha-Dihydrodeoxycorticosterone
C00184	Glycerone
C05689	Se-Methyl-L-selenocysteine
C00909	Leukotriene A4
C00032	Heme
C00636	D-Mannose 1-phosphate
C16680	all-trans-5,6-Epoxyretinoic acid
C15797	22alpha-Hydroxy-5alpha-campestan-3-one
C00234	10-Formyltetrahydrofolate
C00052	UDP-alpha-D-galactose
C00751	Squalene
C14852	Benzo[a]pyrene-7,8-diol
C00455	Nicotinamide D-ribonucleotide
C14793	(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene
C02218	Dehydroalanine
C04530	4,4-Dimethyl-5alpha-cholest-7-en-3beta-ol
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine
C01260	P1,P4-Bis(5'-adenosyl)tetraphosphate
C02504	alpha-Isopropylmalate
C00106	Uracil
C00180	Benzoate
C01189	Lathosterol
C00203	UDP-N-acetyl-D-galactosamine
C11355	4-Amino-4-deoxychorismate
C08813	Brassicasterol
C00360	dAMP
C00647	Pyridoxamine phosphate
C11455	4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol
C14866	Chloral
C01165	L-Glutamate 5-semialdehyde
C05646	5-Hydroxyindolepyruvate
C05688	L-Selenocysteine
C00586	2-Deoxy-D-glucose
C05642	Formyl-N-acetyl-5-methoxykynurenamine
C00029	UDP-glucose
C00197	3-Phospho-D-glycerate
C00239	dCMP
C00341	Geranyl diphosphate
C00231	D-Xylulose 5-phosphate
C03226	3-Demethylubiquinone-9
C00160	Glycolate
C03785	D-Tagatose 1,6-bisphosphate
C03506	Indoleglycerol phosphate
C00674	5alpha-Androstane-3,17-dione
C05653	Formylanthranilate
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate
C14778	16(R)-HETE
C00100	Propanoyl-CoA
C07646	Carboxyphosphamide
