C01724	C11455	R12323
C00109	C05984	-R01000
C04047	C01188	R03352
C01192	C04036	-R03357
C00129	C00448	R02003
C05811	C05812	R04988
C05812	C05811	-R04988
C05803	C05804	R04983
C00026	C00025	R04188
C03284	C06002	R04188
C00025	C00026	-R04188
C06002	C03284	-R04188
C01613	C00492	R03634
C01613	C00124	R03634
C01613	C00095	R03635
C01613	C05404	R03635
C00361	C00286	R01857
C00286	C00361	-R01857
C00361	C00286	-R01858
C00074	C00022	-R01858
C03078	C01035	R03180
C00031	C00092	R00725
C00074	C00022	-R00724
C00042	C00091	R00727
C00091	C00042	-R00727
C00096	C00035	R05002
C05860	C05861	R05002
C00035	C00096	-R05002
C05861	C05860	-R05002
C00008	C00020	R00122
C00029	C00015	R00836
C00092	C00689	R00836
C00029	C00689	R00836
C05275	C05274	-R04753
C00131	C00206	R01140
C00095	C00085	R01140
C00236	C00118	-R01061
C00118	C00231	R01067
C00085	C00279	R01067
C00231	C00118	-R01067
C00279	C00085	-R01067
C00354	C00111	R01068
C00354	C00118	R01068
C00111	C00354	-R01068
C00118	C00354	-R01068
C00154	C02934	R01281
C00065	C02934	R01281
C02934	C00154	-R01281
C02934	C00065	-R01281
C00249	C00154	R01280
C00154	C00249	-R01280
C00979	C00033	R00897
C00979	C00097	R00897
C00636	C00096	R00885
C00096	C00636	-R00885
C05815	C17569	R05614
C17569	C05815	-R05614
C00156	C05809	R05615
C04146	C05809	R05615
C01279	C04556	R03471
C04556	C01279	-R03471
C04477	C01284	R03478
C05108	C15808	R07509
C15808	C05108	-R07509
C00576	C00114	-R08558
C00576	C00114	-R08557
C01094	C00111	R02568
C01094	C00577	R02568
C00111	C01094	-R02568
C00577	C01094	-R02568
C00576	C00719	R02565
C00576	C00719	R02566
C00311	C00026	R00709
C00026	C00311	-R00709
C03912	C00025	R00708
C03912	C00025	R00707
C00022	C00256	-R00704
C00022	C00186	-R00703
C00448	C03428	R00702
C00213	C00037	R00610
C00213	C00067	R00610
C15522	C00268	R04734
C00268	C15522	-R04734
C05577	C05580	R04883
C05581	C05582	R04888
C05581	C05582	R04889
C00360	C00206	R01547
C00206	C00360	-R01547
C00131	C00206	R01548
C00475	C00055	R01548
C00206	C00131	-R01548
C00055	C00475	-R01548
C00131	C00206	R01549
C00299	C00105	R01549
C00058	C00234	R00943
C00234	C00058	-R00943
C04752	C01081	R11312
C20246	C01081	R11312
C00062	C00077	R00551
C00062	C00086	R00551
C00117	C00119	R01049
C00119	C00117	-R01049
C00577	C00116	-R01041
C03451	C00256	R01736
C00254	C01179	R01730
C11455	C05108	-R05639
C11174	C20690	R10548
C20690	C11174	-R10548
C14840	C14848	R07070
C05379	C00311	-R01899
C00588	C00307	R01890
C00307	C00588	-R01890
C00310	C00379	-R01896
C01143	C00129	R01121
C00118	C00018	R10088
C00117	C00018	R10088
C02505	C07086	R02540
C00097	C04352	R04230
C03492	C04352	R04230
C00555	C00334	R02549
C00064	C00025	R00768
C00085	C00352	R00768
C00064	C00352	R00768
C00025	C00064	-R00768
C00352	C00085	-R00768
C00352	C00064	-R00768
C00085	C00279	R00761
C00095	C00085	R00760
C00085	C00095	-R00760
C00665	C00085	R00763
C00354	C00085	R00762
C00085	C00354	R00767
C00354	C00085	-R00767
C00168	C00258	-R01388
C01097	C03785	R03236
C01097	C03785	R03237
C01097	C03785	R03238
C01097	C03785	R03239
C05533	C05662	-R04862
C00212	C00294	R01560
C00212	C00147	R01561
C00147	C00212	-R01561
C00526	C00106	R02484
C00106	C00526	-R02484
C04281	C05947	R04444
C05947	C04281	-R04444
C04281	C05947	R04445
C05947	C04281	-R04445
C04181	C04272	-R04440
C04272	C00141	R04441
C05985	C00804	R02940
C04294	C04327	R04448
C00026	C01087	-R11337
C00089	C00095	R00801
C00089	C00031	R00801
C00089	C02336	R00802
C00089	C00267	R00802
C00064	C00025	R00578
C00049	C00152	R00578
C00064	C00025	R00575
C00064	C00169	R00575
C00074	C00022	-R00572
C00064	C00025	R00573
C01185	C00857	R03005
C00857	C00020	R03004
C00857	C01185	R03004
C00064	C00025	R01716
C00251	C11355	R01716
C00251	C00254	R01715
C01269	C00251	R01714
C00314	C00250	R01711
C00534	C00250	R01710
C00031	C00092	R00299
C00029	C00052	R00291
C00052	C00029	-R00291
C01888	C00546	R02529
C00024	C00083	R00742
C00083	C00024	-R00742
C00084	C00469	-R00746
C00441	C03082	R02291
C03082	C00441	-R02291
C01762	C00385	R02297
C00385	C01762	-R02297
C05841	C00253	R02295
C00253	C05841	-R02295
C03150	C00153	R02294
C02739	C00119	R01071
C00119	C02739	-R01071
C01077	C00033	R03217
C00097	C02291	R03217
C01077	C02291	R03217
C05689	C05703	R09366
C05689	C00022	R09366
C05703	C05689	-R09366
C00022	C05689	-R09366
C04489	C04144	R09365
C05698	C05335	R09365
C04144	C04489	-R09365
C05335	C05698	-R09365
C00049	C04823	R04591
C04751	C04823	R04591
C02532	C00740	R02853
C00037	C21016	R10994
C21015	C21016	R10994
C04666	C01267	R03457
C03360	C00870	R03024
C00870	C03360	-R03024
C05519	C00037	R06171
C05519	C00084	R06171
C00263	C01102	R01771
C00441	C00263	-R01773
C00441	C00263	-R01775
C00263	C01118	R01777
C00263	C01077	R01776
C00356	C00418	-R02082
C06754	C06755	R05286
C01235	C00124	R01194
C01235	C00137	R01194
C01204	C11526	R09087
C11526	C01204	-R09087
C03758	C04043	R04300
C04133	C00624	-R02649
C05356	C04805	R07034
C04805	C05356	-R07034
C05966	C04742	R07035
C04742	C05966	-R07035
C01118	C00042	-R02508
C00097	C00542	-R02508
C01118	C00542	-R02508
C00579	C00248	R01698
C00248	C00579	-R01698
C00345	C00199	R01528
C00199	C00345	-R01528
C00199	C00231	R01529
C00231	C00199	-R01529
C00170	C00147	R01402
C00170	C04188	R01402
C00147	C00170	-R01402
C04188	C00170	-R01402
C00025	C05929	R05197
C05928	C05929	R05197
C05929	C00025	-R05197
C05929	C05928	-R05197
C00020	C00008	R00127
C00008	C00020	-R00127
C00188	C20641	R10463
C01545	C00756	-R02878
C03428	C00751	R02872
C16216	C16217	R07759
C00154	C16216	R07758
C16216	C00154	-R07758
C00218	C00067	R06154
C00025	C00449	-R02315
C04076	C00449	-R02315
C00577	C00258	R01752
C05399	C00794	R02926
C05399	C00124	R02926
C00794	C05399	-R02926
C00124	C05399	-R02926
C00788	C05588	R02920
C05588	C00788	-R02920
C06002	C02170	R03869
C02471	C02755	R03956
C02755	C02471	-R03956
C00109	C06006	R04673
C06006	C00109	-R04673
C00025	C00624	R00259
C00026	C00025	R00258
C00041	C00022	R00258
C00025	C00026	-R00258
C00022	C00041	-R00258
C00064	C00025	R00257
C00064	C00025	R00256
C01879	C00025	R00251
C00025	C00064	R00253
C00064	C00025	-R00253
C00097	C00022	R00782
C02576	C11924	R06366
C00159	C00275	R01326
C00159	C00275	R01327
C00158	C00311	R01324
C00311	C00158	-R01324
C00158	C00417	R01325
C00417	C00158	-R01325
C05400	C00159	R01329
C05400	C00124	R01329
C00159	C05400	-R01329
C00124	C05400	-R01329
C00473	C00376	R02124
C00376	C00473	-R02124
C05445	C05444	-R04805
C00568	C00921	R03067
C00568	C00921	R03066
C01300	C00921	R03066
C00921	C00568	-R03066
C00921	C01300	-R03066
C01346	C00460	R02331
C00460	C01346	-R02331
C00460	C01346	R02332
C00299	C00105	R02332
C16595	C16596	R08310
C00185	C00221	R00026
C00037	C03838	R04144
C03090	C03838	R04144
C00647	C00018	R00277
C00026	C01251	R00271
C00024	C01251	R00271
C00627	C00018	R00278
C14859	C14864	R07093
C14864	C14859	-R07093
C01165	C01250	R12085
C00084	C00033	R00711
C00314	C00627	R01909
C00627	C00314	-R01909
C00129	C00341	R01658
C00445	C00234	R01655
C00234	C00445	-R01655
C04236	C00233	-R01652
C14861	C14858	-R07091
C00366	C11821	R02106
C00143	C00415	R02101
C00365	C00364	R02101
C00460	C00365	R02100
C05141	C05300	R04682
C05300	C05141	-R04682
C05141	C05300	R04681
C05300	C05141	-R04681
C00555	C00334	R01986
C00668	C05345	R02740
C05345	C00668	-R02740
C05512	C00262	R02748
C00262	C05512	-R02748
C00951	C00468	R02352
C00468	C00951	-R02352
C00951	C00468	R02353
C00468	C00951	-R02353
C01102	C00188	R01466
C00093	C00111	R00848
C00111	C00093	-R00848
C00111	C00093	-R00842
C00546	C00256	-R09796
C04051	C04677	-R04378
C05662	C04002	R04371
C04002	C05662	-R04371
C01168	C02067	R11180
C00149	C00022	R00214
C00022	C00149	-R00214
C00036	C00022	R00217
C01120	C00836	R06520
C00957	C05823	-R03104
C01137	C00170	R01920
C00134	C00315	R01920
C00170	C01137	-R01920
C00315	C00134	-R01920
C00319	C06124	R01926
C06124	C00319	-R01926
C00242	C00385	R01676
C00064	C00025	R07456
C00118	C00018	R07456
C00199	C00018	R07456
C04281	C01157	-R03291
C04281	C01157	-R03293
C05379	C00026	R00268
C00940	C00026	R00269
C00251	C00022	R00985
C00251	C00108	R00985
C00064	C00025	R00986
C00251	C00022	R00986
C00251	C00108	R00986
C00931	C01024	R00084
C00020	C00130	R00181
C00212	C00020	R00185
C00020	C00212	-R00185
C06197	C00008	R00187
C06197	C00020	R00187
C00008	C06197	-R00187
C00020	C06197	-R00187
C14090	C14089	-R06917
C02538	C00468	R03980
C05273	C02593	-R03989
C16241	C16238	R07770
C05440	C01694	-R05641
C00042	C00091	R00405
C00091	C00042	-R00405
C00041	C00133	R00401
C00133	C00041	-R00401
C16633	C16634	R08232
C16634	C16633	-R08232
C07649	C16634	R08231
C00458	C00705	R02371
C00475	C00055	R02371
C00460	C01346	R02372
C00475	C00055	R02372
C01346	C00460	-R02372
C00055	C00475	-R02372
C16634	C21748	R11891
C21748	C16634	-R11891
C04242	C21750	R11892
C21750	C04242	-R11892
C21750	C21751	R11895
C21751	C21750	-R11895
C21751	C04242	R11896
C04242	C21751	-R11896
C01103	C00105	R00965
C00104	C00130	R00961
C00130	C00104	-R00961
C00831	C01134	R02971
C00836	C01120	R02976
C01120	C00836	-R02976
C02934	C00836	-R02978
C02336	C05345	R03920
C05345	C02336	-R03920
C03287	C00025	-R00239
C00332	C00024	-R00238
C05993	C00020	R00236
C05993	C00024	R00236
C00033	C00024	R00235
C00024	C00033	-R00235
C00315	C15853	R07477
C15777	C15778	R07505
C15778	C15777	-R07505
C15778	C05440	R07506
C00535	C03917	-R02497
C00387	C00242	R02147
C00242	C00387	-R02147
C00386	C01262	R02144
C02504	C02631	R03968
C02631	C02504	-R03968
C04896	C04916	R04640
C04916	C04896	-R04640
C04411	C02504	R10170
C02504	C04411	-R10170
C04079	C04352	R04391
C00077	C20850	R10790
C00026	C00025	R02700
C00643	C05646	R02700
C00025	C00026	-R02700
C05646	C00643	-R02700
C04188	C04582	R04420
C04582	C04188	-R04420
C00199	C00058	R07281
C00199	C15556	R07281
C05668	C01013	-R03158
C00206	C00131	R01137
C00131	C00206	-R01137
C00049	C03794	R01135
C00130	C03794	R01135
C03794	C00049	-R01135
C03794	C00130	-R01135
C00655	C00130	-R01130
C00131	C00206	R01139
C00031	C00092	R01139
C00206	C00131	-R01138
C00074	C00022	-R01138
C00430	C00931	R00036
C00430	C00931	R00036
C06790	C14868	R07100
C14868	C06790	-R07100
C01005	C00097	R07274
C00156	C03885	R07273
C04145	C03885	R07273
C03885	C00156	-R07273
C03885	C04145	-R07273
C02670	C00818	R02957
C21858	C01419	R12024
C21858	C00026	R12024
C01419	C21858	-R12024
C00026	C21858	-R12024
C06148	C04895	-R04639
C00329	C00352	R01964
C00352	C00329	-R01964
C00131	C00206	R01965
C00329	C00352	R01965
C00206	C00131	-R01965
C00352	C00329	-R01965
C00329	C00352	R01961
C00352	C00329	-R01961
C00242	C00330	-R01969
C15808	C15816	R07494
C15816	C05103	R07495
C05103	C15816	-R07495
C15777	C15780	R07491
C15780	C15777	-R07491
C00117	C00199	R01056
C00199	C00117	-R01056
C00620	C00117	R01057
C00117	C00620	-R01057
C00121	C00117	R01051
C00310	C00231	R01639
C00037	C00065	R00945
C00065	C00037	-R00945
C14802	C14803	R07023
C14803	C14802	-R07023
C00026	C00025	R01090
C00123	C00233	R01090
C00025	C00026	-R01090
C00233	C00123	-R01090
C00984	C00446	R01092
C00446	C00984	-R01092
C02463	C05778	R03947
C05778	C02463	-R03947
C14800	C14806	R07026
C14806	C14800	-R07026
C14800	C14805	R07025
C14805	C14800	-R07025
C14802	C14804	R07024
C14804	C14802	-R07024
C00065	C00078	R02722
C03506	C00118	R02722
C03506	C00078	R02722
C03461	C16502	R08146
C00986	C05665	R03139
C00179	C00134	R01157
C00179	C00086	R01157
C00860	C00135	R01158
C00135	C00860	-R01158
C05580	C05584	R04887
C05584	C05580	-R04887
C05577	C05576	-R04880
C05576	C05594	R04881
C05594	C05576	-R04881
C05577	C05580	R04882
C00135	C03298	R10523
C03298	C00135	-R10523
C00092	C01236	R10520
C01236	C00092	-R10520
C03298	C04259	R10524
C00097	C00669	R00894
C00025	C00669	R00894
C00156	C13425	R05616
C01230	C13425	R05616
C00065	C00979	R00586
C00979	C00065	-R00586
C01005	C00065	R00582
C00065	C00740	R00589
C00740	C00065	-R00589
C00836	C12144	R06525
C12144	C00836	-R06525
C06124	C00319	R06521
C00515	C01110	R02457
C01672	C12455	R06740
C00299	C00105	R00967
C00105	C00299	-R00967
C00105	C00106	R00966
C00106	C00105	-R00966
C00299	C00105	R00964
C00475	C00055	R00962
C00055	C00475	-R00962
C00299	C00105	R00968
C00105	C00299	-R00968
C00966	C00141	R01216
C00966	C00067	R01216
C00141	C00966	-R01216
C00067	C00966	-R01216
C00026	C00025	R01214
C00183	C00141	R01214
C00025	C00026	-R01214
C00141	C00183	-R01214
C00141	C02504	-R01213
C00024	C02504	-R01213
C00143	C00445	R01218
C00445	C00143	-R01218
C05692	C05698	R04936
C05692	C00212	R04936
C05698	C05692	-R04936
C00212	C05692	-R04936
C00036	C00158	-R00351
C00158	C00036	R00352
C00036	C00158	-R00352
C00026	C00025	R00355
C00049	C00036	R00355
C00025	C00026	-R00355
C00036	C00049	-R00355
C01594	C02659	R10040
C01594	C00221	R10040
C05269	C00024	-R01177
C06007	C00671	R05070
C06010	C04181	R05071
C04181	C06010	-R05071
C00418	C01107	R02245
C01107	C00418	-R02245
C02059	C03313	R03816
C04530	C04840	R10057
C04840	C04530	-R10057
C00311	C00417	R01900
C00417	C00311	-R01900
C04411	C00233	R10052
C00233	C04411	-R10052
C04076	C00956	R11679
C00956	C04076	-R11679
C02739	C02741	R04035
C02741	C02739	-R04035
C02741	C04896	R04037
C04896	C02741	-R04037
C05575	C20994	R11014
C00097	C20994	R11014
C20994	C05575	-R11014
C20994	C00097	-R11014
C00025	C05928	R01654
C00234	C05928	R01654
C00099	C00864	R02473
C00522	C00864	R02473
C00966	C00522	-R02472
C00074	C00022	-R00659
C00631	C00074	R00658
C00074	C00631	-R00658
C01077	C00033	R00651
C00409	C00073	R00651
C05526	C00097	-R00900
C01161	C05582	R03304
C05582	C01161	-R03304
C04043	C01161	R03302
C04043	C01161	R03300
C00026	C00025	R00908
C00099	C00222	R00908
C00025	C00026	-R00908
C00222	C00099	-R00908
C04895	C04874	R04620
C00655	C00144	R01230
C00064	C00025	R01231
C00655	C00144	R01231
C00942	C00144	R01234
C01083	C00031	R00010
C00144	C00035	R00332
C00035	C00144	-R00332
C00152	C00049	R00485
C03082	C00049	-R00480
C00049	C00152	R00483
C00118	C05345	R01827
C05382	C00279	R01827
C05345	C00118	-R01827
C00279	C05382	-R01827
C00279	C04691	R01826
C00447	C00111	R01829
C00447	C00279	R01829
C00111	C00447	-R01829
C00279	C00447	-R01829
C00025	C09332	R00942
C00022	C00900	-R00006
C05936	C02946	R05050
C05938	C05947	-R05051
C00026	C00025	R05052
C05947	C05946	R05052
C00025	C00026	-R05052
C05946	C05947	-R05052
C00090	C01502	R00827
C01502	C00090	-R00827
C00412	C00510	R02222
C00510	C00412	-R02222
C06613	C06614	R05237
C06102	C06103	-R05231
C16348	C06615	R05238
C18075	C05284	R08945
C05284	C18075	-R08945
C01245	C11555	R05800
C21563	C00530	R11659
C00530	C21563	-R11659
C00143	C00440	-R07168
C00257	C00345	R01737
C00345	C00257	-R01737
C00492	C00095	R02410
C00492	C05402	R02410
C00493	C02637	R02413
C02637	C00493	-R02413
C00493	C03175	R02412
C00077	C00134	R00670
C05665	C00099	R00904
C02693	C00954	R03096
C00956	C05560	R03098
C06899	C11150	R07104
C11150	C06899	-R07104
C06899	C07490	R07105
C07490	C06899	-R07105
C00267	C00668	R01786
C00668	C00267	-R01786
C00670	C00114	R01030
C00670	C00093	R01030
C01172	C05345	R03321
C05345	C01172	-R03321
C03344	C00100	-R00927
C05983	C00020	R00926
C05983	C00100	R00926
C00163	C00100	R00925
C00100	C00163	-R00925
C03912	C00148	-R01251
C00424	C00546	R10715
C00546	C00424	-R10715
C05235	C00583	-R10717
C00280	C00674	-R10242
C20247	C01081	R10712
C04752	C01081	R10712
C01659	C00511	-R05551
C05766	C05768	R04972
C00186	C00033	R00319
C00033	C05993	R00316
C02191	C00032	R00310
C00032	C02191	-R00310
C00239	C00705	R01665
C00705	C00239	-R01665
C03356	C04309	R04206
C04309	C03356	-R04206
C04640	C03373	R04208
C03373	C04640	-R04208
C04236	C04411	-R04426
C05437	C04525	R04427
C04525	C05437	-R04427
C00408	C00450	R02204
C00410	C03681	-R02208
C15606	C08276	R07363
C15606	C00058	R07363
C15606	C01180	R07364
C15606	C00058	R07364
C05378	C05345	R04780
C04677	C04734	R04560
C04734	C04677	-R04560
C00026	C00302	R00896
C00097	C00957	R00896
C01172	C01236	R10907
C01236	C01172	-R10907
C04840	C04453	R07149
C14180	C01031	R07140
C00026	C00025	R02433
C00506	C05528	R02433
C00025	C00026	-R02433
C05528	C00506	-R02433
C00916	C04712	R07400
C00026	C00025	R00895
C00097	C00957	R00895
C00026	C00025	R00694
C00079	C00166	R00694
C00025	C00026	-R00694
C00166	C00079	-R00694
C00826	C00079	R00691
C00111	C00184	R01010
C00184	C00111	R01011
C00111	C00184	-R01011
C00118	C00111	R01015
C00111	C00118	-R01015
C01185	C05841	R03347
C05841	C01185	-R03347
C00154	C00249	R01274
C05272	C00154	-R01278
C00345	C00199	R10221
C00199	C00345	-R10221
C05838	C05839	-R04998
C00031	C05839	-R04998
C05827	C05828	R04996
C05813	C05814	R04990
C03440	C04282	R04221
C01302	C03506	R03508
C00250	C00018	R00174
C00018	C00250	-R00174
C14851	C14855	R07083
C14855	C14851	-R07083
C14852	C14856	R07084
C14856	C14852	-R07084
C00294	C00262	R01863
C00262	C00294	-R01863
C06459	C05674	R02590
C05674	C06459	-R02590
C00026	C00025	R00734
C00082	C01179	R00734
C00025	C00026	-R00734
C01179	C00082	-R00734
C01278	C01163	R03307
C00191	C00800	-R01481
C05533	C00322	R01936
C00794	C00247	R07346
C00247	C00794	-R07346
C05301	C05302	R04764
C05302	C05301	-R04764
C05298	C05299	R04762
C05299	C05298	-R04762
C05143	C03742	R10035
C05143	C00221	R10035
C04556	C04752	R04509
C04752	C04556	-R04509
C04530	C04814	R04501
C04814	C04530	-R04501
C00096	C00035	R04502
C04537	C05860	R04502
C00035	C00096	-R04502
C05860	C04537	-R04502
C05445	C04554	R04506
C00064	C00025	-R01072
C00119	C03090	-R01072
C00064	C03090	-R01072
C00108	C04302	-R01073
C05378	C00111	R01070
C05378	C00118	R01070
C00111	C05378	-R01070
C00118	C05378	-R01070
C04840	C04453	R04483
C00120	C05921	R01074
C00231	C00118	R06861
C00118	C00231	-R06861
C05382	C00117	R06863
C00117	C05382	-R06863
C03557	C05673	R04247
C05673	C03557	-R04247
C05382	C00447	R01843
C00447	C05382	-R01843
C00447	C05382	R01845
C01054	C01724	R03199
C01051	C03263	R03197
C01051	C02463	R03194
C00084	C00033	R00710
C00232	C00042	R00713
C00232	C00042	R00714
C00047	C00449	-R00715
C00026	C00449	-R00715
C00048	C00160	-R00717
C00022	C05125	R00014
C00188	C00109	R00996
C01234	C00109	R00997
C00109	C01234	-R00997
C06032	C00109	-R00994
C00147	C00020	-R00190
C00575	C00020	R00191
C00129	C01230	R09245
C00015	C00105	R00155
C00105	C00015	R00158
C00015	C00105	-R00158
C21106	C08813	R11097
C20905	C00109	R11098
C00488	C00058	R00524
C00026	C00025	-R00093
C00064	C00025	-R00093
C03205	C18040	R08954
C00577	C00118	R01059
C00301	C00020	R01054
C00301	C00117	R01054
C00106	C01168	R01055
C00117	C01168	R01055
C00253	C01185	-R01724
C00534	C00647	R02493
C00647	C00534	-R02493
C00483	C03765	R02382
C01419	C00037	R00899
C01419	C00097	R00899
C00037	C01419	-R00899
C00097	C01419	-R00899
C11555	C01284	R05801
C00346	C00570	R02038
C00570	C00346	-R02038
C01236	C00345	R02035
C00064	C00025	R04558
C04916	C04677	R04558
C04916	C04666	R04558
C00979	C00033	R03601
C00033	C00979	-R03601
C00026	C00091	R08549
C00844	C00561	R02558
C00844	C00031	R02558
C00559	C05512	R02556
C00559	C00147	R02557
C00147	C00559	-R02557
C00275	C00085	R00772
C00085	C00275	-R00772
C00085	C00354	R00770
C00092	C00085	R00771
C00085	C00092	-R00771
C00603	C00048	R00776
C00603	C00086	R00776
C00048	C00603	-R00776
C00086	C00603	-R00776
C14870	C14871	R07116
C14871	C14870	-R07116
C11088	C14874	R07113
C14874	C11088	-R07113
C05583	C05584	R04891
C00209	C00313	R01558
C00026	C02630	-R08198
C04916	C04677	R12152
C04916	C04666	R12152
C00864	C03492	R03018
C03492	C00864	-R03018
C01929	C00860	-R03012
C01100	C00860	R03013
C00250	C00314	-R01708
C00352	C00357	R02058
C01272	C01284	R10953
C00286	C00361	R01880
C00299	C00105	R01880
C00026	C00025	R02619
C00606	C05527	R02619
C00025	C00026	-R02619
C05527	C00606	-R02619
C05332	C00601	R02613
C00599	C03238	-R02610
C03451	C00546	R02530
C00546	C03451	-R02530
C00601	C07086	R02536
C00601	C07086	R02537
C00547	C05589	R02534
C05589	C00547	-R02534
C00084	C00469	-R00754
C00085	C00354	R00756
C00188	C00037	R00751
C00188	C00084	R00751
C00037	C00188	-R00751
C00084	C00188	-R00751
C15650	C15651	R07393
C15651	C15650	-R07393
C15651	C15606	R07394
C00025	C00624	R02282
C00437	C00077	R02282
C00624	C00025	-R02282
C00077	C00437	-R02282
C00049	C00438	R01397
C00169	C00438	R01397
C00077	C00327	R01398
C03263	C01079	R03220
C04327	C01081	R03223
C04752	C01081	R03223
C01079	C02191	R03222
C02191	C01079	-R03222
C16348	C06612	-R05234
C06613	C06611	-R05233
C16635	C12739	R08221
C18060	C00203	R10183
C00203	C18060	-R10183
C21284	C05770	R11329
C05770	C21284	-R11329
C16361	C16362	R07981
C15527	C02463	R07238
C00022	C00256	R11593
C00256	C00022	-R11593
C00430	C03741	R02272
C03741	C00430	-R02272
C00133	C00022	R05861
C00065	C00037	R09099
C00065	C04377	R09099
C00037	C00065	-R09099
C04377	C00065	-R09099
C03221	C01832	-R03856
C01024	C01051	R03165
C00026	C00025	R10845
C20895	C20646	R10845
C00025	C00026	-R10845
C20646	C20895	-R10845
C08325	C00844	-R02985
C08325	C00031	-R02985
C00842	C02097	R02984
C02097	C00842	-R02984
C00449	C00025	R09495
C00449	C04076	R09495
C00637	C00954	R02678
C14787	C14793	R07003
C00103	C00029	R00289
C00029	C00103	-R00289
C14787	C14792	R07004
C05404	C05402	R05549
C05404	C00124	R05549
C05402	C05404	-R05549
C00124	C05404	-R05549
C14839	C14847	R07069
C00032	C15672	R07411
C15672	C00032	-R07411
C00043	C00015	R04494
C04500	C04537	R04494
C00254	C00166	R01373
C03232	C00197	-R01513
C00236	C00197	-R01512
C00258	C00197	R01514
C00197	C00258	-R01514
C11526	C20690	R08964
C20690	C11526	-R08964
C00084	C05125	R00755
