C00025	L-Glutamate
C00024	Acetyl-CoA
C00148	L-Proline
C00026	2-Oxoglutarate
C00021	S-Adenosyl-L-homocysteine
C00020	AMP
C00022	Pyruvate
C18910	2,5-Diamino-6-(5-phospho-D-ribitylamino)pyrimidin-4(3H)-one
C00143	5,10-Methylenetetrahydrofolate
C00141	3-Methyl-2-oxobutanoic acid
C00029	UDP-glucose
C00027	Hydrogen peroxide
C00144	GMP
C00942	3',5'-Cyclic GMP
C00149	(S)-Malate
C05993	Acetyl adenylate
C14819	Fe3+
C14818	Fe2+
C00430	5-Aminolevulinate
C00437	N-Acetylornithine
C00533	Nitric oxide
C01755	Thiocyanate
C00438	N-Carbamoyl-L-aspartate
C04501	N-Acetyl-alpha-D-glucosamine 1-phosphate
C00704	O2.-
C20994	S-(Hercyn-2-yl)-L-cysteine S-oxide
C01180	4-Methylthio-2-oxobutanoic acid
C04874	7,8-Dihydroneopterin
C02631	2-Isopropylmaleate
C01185	Nicotinate D-ribonucleotide
C15606	1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one
C00314	Pyridoxine
C00147	Adenine
C01137	S-Adenosylmethioninamine
C00227	Acetyl phosphate
C00224	Adenylyl sulfate
C01236	D-Glucono-1,5-lactone 6-phosphate
C00221	beta-D-Glucose
C01234	1-Aminocyclopropane-1-carboxylate
C02504	alpha-Isopropylmalate
C02741	Phosphoribosyl-AMP
C00009	Orthophosphate
C00008	ADP
C00007	Oxygen
C00006	NADP+
C00005	NADPH
C00004	NADH
C00003	NAD+
C00002	ATP
C00001	H2O
C04259	N,N-Dimethylhistidine
C00966	2-Dehydropantoate
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide
C00417	cis-Aconitate
C03741	(S)-4-Amino-5-oxopentanoate
C00311	Isocitrate
C00315	Spermidine
C01528	Hydrogen selenide
C00091	Succinyl-CoA
C00092	D-Glucose 6-phosphate
C00093	sn-Glycerol 3-phosphate
C00094	Sulfite
C00095	D-Fructose
C00096	GDP-mannose
C00097	L-Cysteine
C06197	P1,P3-Bis(5'-adenosyl) triphosphate
C04002	(Z)-But-1-ene-1,2,4-tricarboxylate
C04039	2,3-Dihydroxy-3-methylbutanoate
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide
C05575	Hercynine
C00244	Nitrate
C05770	Coproporphyrin III
C05778	Sirohydrochlorin
C00166	Phenylpyruvate
C00160	Glycolate
C00169	Carbamoyl phosphate
C00068	Thiamin diphosphate
C05686	Adenylylselenate
C00345	6-Phospho-D-gluconate
