C04332	6,7-Dimethyl-8-(D-ribityl)lumazine
C03356	3-Phospho-D-erythronate
C00329	D-Glucosamine
C05670	3-Aminopropiononitrile
C05841	Nicotinate D-ribonucleoside
C00131	dATP
C18060	N-Acetyl-alpha-D-galactosamine 1-phosphate
C00322	2-Oxoadipate
C00008	ADP
C00458	dCTP
C05584	3-Methoxy-4-hydroxymandelate
C01100	L-Histidinol phosphate
C06124	Sphingosine 1-phosphate
C20267	4-Amino-5-aminomethyl-2-methylpyrimidine
C05108	14-Demethyllanosterol
C00794	D-Sorbitol
C05673	CMP-2-aminoethylphosphonate
C05381	3-Carboxy-1-hydroxypropyl-ThPP
C02356	(S)-2-Aminobutanoate
C05270	Hexanoyl-CoA
C14847	3,4-Dihydro-3-hydroxy-4-S-glutathionyl bromobenzene
C00130	IMP
C05703	Methaneselenol
C04840	3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate
C20905	2-Iminobutanoate
C00526	Deoxyuridine
C00493	Shikimate
C00417	cis-Aconitate
C15776	4alpha-Methylfecosterol
C01902	Cycloartenol
C01102	O-Phospho-L-homoserine
C00498	ADP-glucose
C00804	Propynoate
C00356	(S)-3-Hydroxy-3-methylglutaryl-CoA
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine
C03506	Indoleglycerol phosphate
C00106	Uracil
C11278	Aflatoxin B1exo-8,9-epoxide-GSH
C00334	4-Aminobutanoate
C01563	Carbamate
C11555	1D-myo-Inositol 1,4,5,6-tetrakisphosphate
C00134	Putrescine
C00153	Nicotinamide
C00255	Riboflavin
C08276	3-(Methylthio)propanoate
C04272	(R)-2,3-Dihydroxy-3-methylbutanoate
C05528	3-Sulfopyruvate
C06148	2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine
C00546	Methylglyoxal
C03451	(R)-S-Lactoylglutathione
C18075	11beta,17beta-Dihydroxy-4-androsten-3-one
C02739	1-(5-Phospho-D-ribosyl)-ATP
C00870	4-Nitrophenol
C00671	(S)-3-Methyl-2-oxopentanoic acid
C00490	Itaconate
C01107	(R)-5-Phosphomevalonate
C01346	dUDP
C00448	trans,trans-Farnesyl diphosphate
C00984	alpha-D-Galactose
C00341	Geranyl diphosphate
C00445	5,10-Methenyltetrahydrofolate
C03232	3-Phosphonooxypyruvate
C00418	(R)-Mevalonate
C14857	1,1-Dichloroethylene epoxide
C15777	Episterol
C03313	Phylloquinol
C18902	Methylselenic acid
C21284	Fe-coproporphyrin III
C04181	3-Hydroxy-3-methyl-2-oxobutanoic acid
C00756	1-Octanol
C11509	3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde
C00446	alpha-D-Galactose 1-phosphate
C01134	Pantetheine 4'-phosphate
C02463	Precorrin 2
C14858	2,2-Dichloroacetaldehyde
C21563	2-(Glutathione-S-yl)-hydroquinone
C20690	1D-myo-Inositol 1,5-bis(diphosphate) 2,3,4,6-tetrakisphosphate
C06899	Chloral hydrate
C00360	dAMP
C01172	beta-D-Glucose 6-phosphate
C01502	o-Methoxyphenol
C00601	Phenylacetaldehyde
C05699	L-Selenocystathionine
C01051	Uroporphyrinogen III
C00299	Uridine
C11537	(2R)-3-Sulfolactate
C00412	Stearoyl-CoA
C03794	N6-(1,2-Dicarboxyethyl)-AMP
C01189	Lathosterol
C00137	myo-Inositol
C11821	5-Hydroxyisourate
C00206	dADP
C05589	L-Normetanephrine
C00966	2-Dehydropantoate
C02067	Pseudouridine
C05698	Selenohomocysteine
C11924	Perillic acid
C00750	Spermine
C11088	1,2-Dibromoethane
C00531	Itaconyl-CoA
C06103	6-Hydroxyhexanoic acid
C00751	Squalene
C01228	Guanosine 3',5'-bis(diphosphate)
C00279	D-Erythrose 4-phosphate
C00415	Dihydrofolate
C00232	Succinate semialdehyde
C00361	dGDP
C04309	Phosphoenol-4-deoxy-3-tetrulosonate
C04530	4,4-Dimethyl-5alpha-cholest-7-en-3beta-ol
C16502	Farnesoic acid
C01230	all-trans-Hexaprenyl diphosphate
C01077	O-Acetyl-L-homoserine
C00354	D-Fructose 1,6-bisphosphate
C05692	Se-Adenosyl-L-selenohomocysteine
C00346	Ethanolamine phosphate
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate
C00579	Dihydrolipoamide
C18096	D-Allulose 6-phosphate
