C16737	C06892	R08503
C06892	C16737	-R08503
C00109	C05984	-R01000
C01187	C04121	R03351
C00153	C00253	R01268
C00129	C00448	R02003
C06715	C00024	R05586
C06715	C00527	R05586
C05811	C05812	R04988
C05812	C05811	-R04988
C05810	C05811	R04987
C05809	C05810	R04986
C05803	C05804	R04983
C00041	C00022	R04187
C06002	C03284	R04187
C00022	C00041	-R04187
C03284	C06002	-R04187
C00026	C00025	R04188
C03284	C06002	R04188
C00025	C00026	-R04188
C06002	C03284	-R04188
C05906	C01617	R03636
C01617	C05906	-R03636
C01613	C00492	R03634
C01613	C00124	R03634
C01613	C00095	R03635
C01613	C05404	R03635
C00286	C00330	R01856
C00330	C00286	-R01856
C00361	C00286	R01857
C00286	C00361	-R01857
C00361	C00286	-R01858
C00074	C00022	-R01858
C03078	C01035	R03180
C01036	C01061	R03181
C01061	C01036	-R03181
C01037	C01909	R03182
C01909	C01037	-R03182
C00689	C00031	R00837
C00689	C00092	R00837
C00074	C00022	-R00724
C05280	C05279	R04756
C05279	C05280	-R04756
C21310	C18239	R11372
C19945	C00024	R09839
C19945	C14144	R09839
C00236	C00118	-R01061
C00118	C00231	R01067
C00085	C00279	R01067
C00231	C00118	-R01067
C00279	C00085	-R01067
C00673	C00084	R01066
C00673	C00118	R01066
C00084	C00673	-R01066
C00118	C00673	-R01066
C00354	C00111	R01068
C00354	C00118	R01068
C00111	C00354	-R01068
C00118	C00354	-R01068
C00249	C00154	R01280
C00154	C00249	-R01280
C05375	C03671	R04279
C00979	C00033	R00897
C00979	C00097	R00897
C05815	C17569	R05614
C17569	C05815	-R05614
C00156	C05809	R05615
C04146	C05809	R05615
C01279	C04556	R03471
C04556	C01279	-R03471
C03373	C04556	R03472
C03373	C00058	R03472
C02375	C03585	R04258
C00576	C00114	-R08558
C00576	C00114	-R08557
C01094	C00111	R02568
C01094	C00577	R02568
C00111	C01094	-R02568
C00577	C01094	-R02568
C00576	C00719	R02565
C00576	C00719	R02566
C03912	C00025	R00708
C03912	C00025	R00707
C00222	C00024	R00706
C00222	C00024	R00705
C00022	C00256	-R00704
C00022	C00186	-R00703
C04112	C04558	R09229
C00213	C00037	R00610
C00213	C00067	R00610
C05259	C05258	-R04737
C15522	C00268	R04734
C00268	C15522	-R04734
C05258	C05272	R04738
C05272	C05258	-R04738
C05261	C05260	-R04739
C00360	C00206	R01547
C00206	C00360	-R01547
C00204	C04349	R01542
C04349	C00204	-R01542
C00204	C04442	R01541
C00131	C00206	R01548
C00475	C00055	R01548
C00206	C00131	-R01548
C00055	C00475	-R01548
C00131	C00206	R01549
C00299	C00105	R01549
C02376	C00178	R01411
C00058	C00234	R00943
C00234	C00058	-R00943
C04752	C01081	R11312
C20246	C01081	R11312
C01725	C06215	-R11311
C00062	C00327	R00552
C00062	C00077	R00551
C00062	C00086	R00551
C03160	C15547	R07263
C15547	C03657	R07262
C05774	C06508	R07268
C06508	C05774	-R07268
C00117	C00119	R01049
C00119	C00117	-R01049
C03451	C00256	R01736
C04882	C00105	R05630
C17556	C05897	R05630
C00105	C04882	-R05630
C05897	C17556	-R05630
C11434	C11435	R05633
C11435	C11434	-R05633
C11435	C11436	R05634
C11436	C11435	-R05634
C00118	C11437	R05636
C11436	C00055	R05637
C11436	C11453	R05637
C00349	C01188	-R02047
C03671	C04434	R04277
C14840	C14848	R07070
C05379	C00311	-R01899
C00593	C05123	R02600
C00596	C03589	R02601
C03589	C00596	-R02601
C04479	C00042	-R02603
C04479	C00596	-R02603
C00097	C04352	R04231
C03492	C04352	R04231
C02505	C07086	R02540
C00555	C00334	R02549
C00064	C00025	R00768
C00085	C00352	R00768
C00064	C00352	R00768
C00025	C00064	-R00768
C00352	C00085	-R00768
C00352	C00064	-R00768
C00095	C00085	R00760
C00085	C00095	-R00760
C00354	C00085	R00762
C00352	C00085	R00765
C00085	C00354	R00767
C00354	C00085	-R00767
C00167	C00617	R01385
C00617	C00167	-R01385
C00168	C00258	-R01388
C01097	C03785	R03236
C01097	C03785	R03237
C01092	C01037	R03231
C01037	C01092	-R03231
C01097	C03785	R03238
C01097	C03785	R03239
C00212	C00294	R01560
C00212	C00147	R01561
C00147	C00212	-R01561
C01367	C00212	R01562
C00214	C00364	R01567
C00364	C00214	R01569
C00526	C00106	R02484
C00106	C00526	-R02484
C04281	C05947	R04444
C05947	C04281	-R04444
C04281	C05947	R04445
C05947	C04281	-R04445
C04181	C04272	-R04440
C04272	C00141	R04441
C05985	C00804	R02940
C04294	C04327	R04448
C00026	C01087	-R11337
C00089	C00095	R00801
C00089	C00031	R00801
C00089	C02336	R00802
C00089	C00267	R00802
C00064	C00025	R00578
C00049	C00152	R00578
C00064	C00025	R00575
C00064	C00169	R00575
C00074	C00022	-R00572
C00064	C00025	R00573
C01185	C00857	R03005
C00857	C00020	R03004
C00857	C01185	R03004
C00251	C00885	R01717
C00885	C00251	-R01717
C00064	C00025	R01716
C00251	C11355	R01716
C00251	C00254	R01715
C01269	C00251	R01714
C00314	C00250	R01711
C00534	C00250	R01710
C00022	C00041	R05652
C00245	C00593	R05652
C00041	C00022	-R05652
C00593	C00245	-R05652
C06156	C00352	R02060
C00352	C06156	-R02060
C02218	C20904	R11100
C05840	C03722	-R04292
C03586	C00846	R02991
C11811	C11453	R10859
C11453	C11811	-R10859
C05472	C05482	-R04834
C00031	C00092	R00299
C00029	C00052	R00291
C00052	C00029	-R00291
C01179	C00544	R02521
C00024	C00083	R00742
C00083	C00024	-R00742
C03167	C00084	R00747
C00189	C00084	R00749
C00441	C03082	R02291
C03082	C00441	-R02291
C01762	C00385	R02297
C00385	C01762	-R02297
C00475	C00380	R02296
C00380	C00475	-R02296
C05841	C00253	R02295
C00253	C05841	-R02295
