R08503	-R08503
R04988	-R04988
R04187	-R04187
R04188	-R04188
R03636	-R03636
R01856	-R01856
R01857	-R01857
R03181	-R03181
R03182	-R03182
R00722	-R00722
R01794	-R01794
R04756	-R04756
R01067	-R01067
R01066	-R01066
R01068	-R01068
R01280	-R01280
R05614	-R05614
R00089	-R00089
R03471	-R03471
R02568	-R02568
R04734	-R04734
R04738	-R04738
R01547	-R01547
R01542	-R01542
R01548	-R01548
R00943	-R00943
R00143	-R00143
R11319	-R11319
R07268	-R07268
R01049	-R01049
R05630	-R05630
R05633	-R05633
R05634	-R05634
R02601	-R02601
R00768	-R00768
R00760	-R00760
R00767	-R00767
R01385	-R01385
R03231	-R03231
R01561	-R01561
R02484	-R02484
R04444	-R04444
R04445	-R04445
R00161	-R00161
R00570	-R00570
R00571	-R00571
R01717	-R01717
R05652	-R05652
R02060	-R02060
R10859	-R10859
R00291	-R00291
R00742	-R00742
R02291	-R02291
R02297	-R02297
R02296	-R02296
R02295	-R02295
R01071	-R01071
R03210	-R03210
R09942	-R09942
R09366	-R09366
R09365	-R09365
R00104	-R00104
R10992	-R10992
R04330	-R04330
R11716	-R11716
R11717	-R11717
R03026	-R03026
R03024	-R03024
R05850	-R05850
R02085	-R02085
R04100	-R04100
R03596	-R03596
R00137	-R00137
R07034	-R07034
R07035	-R07035
R01698	-R01698
R03276	-R03276
R01528	-R01528
R01529	-R01529
R05595	-R05595
R05197	-R05197
R00127	-R00127
R06979	-R06979
R03045	-R03045
R07893	-R07893
R02926	-R02926
R09750	-R09750
R03868	-R03868
R04673	-R04673
R10819	-R10819
R00258	-R00258
R00253	-R00253
R01324	-R01324
R01325	-R01325
R01329	-R01329
R02124	-R02124
R04379	-R04379
R03066	-R03066
R03065	-R03065
R02331	-R02331
R00025	-R00025
R00868	-R00868
R05508	-R05508
R05509	-R05509
R03884	-R03884
R07093	-R07093
R01909	-R01909
R01655	-R01655
R02740	-R02740
R02748	-R02748
R00428	-R00428
R00429	-R00429
R00848	-R00848
R00847	-R00847
R02914	-R02914
R00214	-R00214
R00216	-R00216
R05297	-R05297
R03296	-R03296
R05176	-R05176
R01582	-R01582
R00189	-R00189
R00405	-R00405
R00401	-R00401
R00409	-R00409
R08233	-R08233
R08232	-R08232
R08230	-R08230
R08237	-R08237
R08236	-R08236
R08239	-R08239
R02372	-R02372
R11895	-R11895
R09800	-R09800
R03920	-R03920
R00130	-R00130
R00230	-R00230
R00235	-R00235
R02147	-R02147
R03968	-R03968
R04640	-R04640
R10170	-R10170
R10179	-R10179
R10178	-R10178
R10797	-R10797
R02703	-R02703
R05496	-R05496
R01137	-R01137
R01135	-R01135
R07100	-R07100
R10092	-R10092
R07273	-R07273
R12024	-R12024
R01961	-R01961
R01056	-R01056
R01057	-R01057
R00948	-R00948
R00945	-R00945
R07023	-R07023
R01090	-R01090
R01092	-R01092
R03947	-R03947
R05390	-R05390
R07026	-R07026
R07025	-R07025
R07024	-R07024
R00372	-R00372
R01158	-R01158
R02262	-R02262
R02263	-R02263
R10520	-R10520
R05604	-R05604
R11073	-R11073
R00585	-R00585
R00586	-R00586
R00588	-R00588
R06529	-R06529
R00967	-R00967
R00966	-R00966
R00962	-R00962
R00968	-R00968
R03925	-R03925
R01216	-R01216
R01214	-R01214
R01215	-R01215
R11263	-R11263
R08165	-R08165
R00350	-R00350
R00355	-R00355
R01172	-R01172
R05071	-R05071
R01900	-R01900
R10052	-R10052
R04035	-R04035
R04037	-R04037
R00658	-R00658
R00908	-R00908
R05681	-R05681
R00332	-R00332
R00330	-R00330
R01827	-R01827
R01829	-R01829
R00002	-R00002
R05052	-R05052
R05053	-R05053
R02222	-R02222
R07302	-R07302
R11659	-R11659
R05645	-R05645
R10137	-R10137
R01737	-R01737
R02413	-R02413
R00673	-R00673
R07105	-R07105
R01786	-R01786
R03321	-R03321
R00925	-R00925
R01257	-R01257
R00315	-R00315
R00310	-R00310
R01665	-R01665
R04206	-R04206
R04204	-R04204
R04208	-R04208
R04425	-R04425
R05038	-R05038
R04781	-R04781
R04560	-R04560
R10907	-R10907
R09735	-R09735
R02439	-R02439
R02433	-R02433
R02437	-R02437
R00694	-R00694
R01015	-R01015
R05576	-R05576
R10221	-R10221
R11174	-R11174
R11173	-R11173
R04224	-R04224
R00174	-R00174
R07083	-R07083
R07084	-R07084
R01863	-R01863
R07889	-R07889
R00734	-R00734
R00907	-R00907
R04509	-R04509
R00509	-R00509
R00505	-R00505
R08714	-R08714
R04482	-R04482
R01070	-R01070
R06861	-R06861
