C00025	L-Glutamate
C00024	Acetyl-CoA
C00148	L-Proline
C00026	2-Oxoglutarate
C00020	AMP
C00022	Pyruvate
C00143	5,10-Methylenetetrahydrofolate
C00141	3-Methyl-2-oxobutanoic acid
C00029	UDP-glucose
C00027	Hydrogen peroxide
C00144	GMP
C00942	3',5'-Cyclic GMP
C00149	(S)-Malate
C00944	3-Dehydroquinate
C05993	Acetyl adenylate
C14819	Fe3+
C14818	Fe2+
C02730	2-Succinylbenzoate
C00436	N-Carbamoylputrescine
C00099	beta-Alanine
C00533	Nitric oxide
C01755	Thiocyanate
C00438	N-Carbamoyl-L-aspartate
C00439	N-Formimino-L-glutamate
C00536	Triphosphate
C04501	N-Acetyl-alpha-D-glucosamine 1-phosphate
C00704	O2.-
C00705	dCDP
C01180	4-Methylthio-2-oxobutanoic acid
C04874	7,8-Dihydroneopterin
C02631	2-Isopropylmaleate
C01185	Nicotinate D-ribonucleotide
C02637	3-Dehydroshikimate
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine
C01087	(R)-2-Hydroxyglutarate
C04225	(Z)-But-2-ene-1,2,3-tricarboxylate
C05852	2-Hydroxyphenylacetate
C00272	Tetrahydrobiopterin
C01134	Pantetheine 4'-phosphate
C00227	Acetyl phosphate
C00224	Adenylyl sulfate
C00222	3-Oxopropanoate
C00221	beta-D-Glucose
C06033	Parapyruvate
C00385	Xanthine
C00387	Guanosine
C02504	alpha-Isopropylmalate
C15699	gamma-L-Glutamylputrescine
C00881	Deoxycytidine
C04593	(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate
C00546	Methylglyoxal
C02714	N-Acetylputrescine
C00544	Homogentisate
C00366	Urate
C00364	dTMP
C00365	dUMP
C00362	dGMP
C00363	dTDP
C00009	Orthophosphate
C00008	ADP
C00007	Oxygen
C00006	NADP+
C00005	NADPH
C00004	NADH
C00003	NAD+
C00002	ATP
C00001	H2O
C03589	4-Hydroxy-2-oxopentanoate
C00966	2-Dehydropantoate
C21008	7,8-Dihydromonapterin
C06232	Molybdate
C04895	7,8-Dihydroneopterin 3'-triphosphate
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide
C00415	Dihydrofolate
C00417	cis-Aconitate
C01007	Reduced riboflavin
C00644	D-Mannitol 1-phosphate
C00311	Isocitrate
C00921	Dihydropteroate
C01528	Hydrogen selenide
C02225	2-Methylcitrate
C00091	Succinyl-CoA
C00092	D-Glucose 6-phosphate
C00093	sn-Glycerol 3-phosphate
