C00259	L-Arabinose
C00966	2-Dehydropantoate
C00294	Inosine
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate
C21612	3-Dehydro-L-erythronate
C00018	Pyridoxal phosphate
C04255	N-Acetyl-D-galactosamine 6-sulfate
C05923	2,5-Diaminopyrimidine nucleoside triphosphate
C00431	5-Aminopentanoate
C14857	1,1-Dichloroethylene epoxide
C03684	6-Pyruvoyltetrahydropterin
C00256	(R)-Lactate
C00144	GMP
C01103	Orotidine 5'-phosphate
C03406	N-(L-Arginino)succinate
C03440	cis-4-Hydroxy-D-proline
C00531	Itaconyl-CoA
C00109	2-Oxobutanoate
C01079	Protoporphyrinogen IX
C00132	Methanol
C00337	(S)-Dihydroorotate
C05668	3-Hydroxypropionyl-CoA
C01180	4-Methylthio-2-oxobutanoic acid
C07836	D-glycero-beta-D-manno-Heptose 7-phosphate
C01181	4-Trimethylammoniobutanoate
C01157	Hydroxyproline
C05931	N-Succinyl-L-glutamate
C00153	Nicotinamide
C04121	CMP-3-deoxy-D-manno-octulosonate
C02714	N-Acetylputrescine
C01100	L-Histidinol phosphate
C03561	(R)-3-Hydroxybutanoyl-CoA
C00334	4-Aminobutanoate
C00258	D-Glycerate
C05805	2-Hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone
C01092	8-Amino-7-oxononanoate
C14865	2-(S-Glutathionyl)acetyl chloride
C01762	Xanthosine
C04146	all-trans-Octaprenyl diphosphate
C01185	Nicotinate D-ribonucleotide
C04874	7,8-Dihydroneopterin
C01127	4-Hydroxy-2-oxoglutarate
C01548	Acetylene
C01345	dITP
C05258	(S)-3-Hydroxyhexadecanoyl-CoA
C00561	Mandelonitrile
C00418	(R)-Mevalonate
C11088	1,2-Dibromoethane
C00332	Acetoacetyl-CoA
C05527	3-Sulfinylpyruvate
C04484	4-Carboxy-2-hydroxymuconate semialdehyde
C01172	beta-D-Glucose 6-phosphate
C00430	5-Aminolevulinate
C11355	4-Amino-4-deoxychorismate
C03852	Androstan-3alpha,17beta-diol
C00235	Dimethylallyl diphosphate
C15527	Precorrin 1
C01188	3-Hydroxy-2-methylpropanoate
C06508	Adenosyl cobinamide
C00147	Adenine
C00559	Deoxyadenosine
C00519	Hypotaurine
C11945	trans-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA
C05576	3,4-Dihydroxyphenylethyleneglycol
C05909	Leucodelphinidin
C00254	Prephenate
C00302	Glutamate
C02637	3-Dehydroshikimate
C02226	2-Methylmaleate
C05670	3-Aminopropiononitrile
C14870	2-Bromoacetaldehyde
C00438	N-Carbamoyl-L-aspartate
C02512	3-Cyano-L-alanine
C04327	4-Methyl-5-(2-phosphooxyethyl)thiazole
C00112	CDP
C00295	Orotate
C00881	Deoxycytidine
C20641	L-Threonylcarbamoyladenylate
C20251	1-Keto-D-chiro-inositol
C01077	O-Acetyl-L-homoserine
