KEGGID	DeltaG0Prime	DeltaGUncertainty	DeltaGmPrime
R00001	C00404 + n C00001 <=> (n+1) C02174	0.0	0.0	0.0
R00002	16 C00002 + 16 C00001 + 8 C00138 <=> 8 C05359 + 16 C00009 + 16 C00008 + 8 C00139	0.0	0.0	0.0
R00004	C00013 + C00001 <=> 2 C00009	-14.48614303751257 	0.19501334817718716 	-31.600980572233603 
R00005	C01010 + C00001 <=> 2 C00011 + 2 C00014	-84.2966710511941 	7.753724440164078 	-135.6411836553572 
R00006	C00900 + C00011 <=> 2 C00022	35.20756262425774 	3.782378287499292 	35.20756262425774 
R00008	C06033 <=> 2 C00022	19.59435845397462 	2.3648415713043933 	2.479520919253588 
R00009	2 C00027 <=> C00007 + 2 C00001	-192.73775647531434 	6.872785578104084 	-175.6229189405933 
R00010	C01083 + C00001 <=> 2 C00031	-11.708722494033745 	1.100232549316824 	-28.823560028754777 
R00011	2 C19610 + C00027 + 2 C00080 <=> 2 C19611 + 2 C00001	0.0	0.0	0.0
R00012	2 C00044 <=> C00013 + C01261	9.905810533737359 	6.359860263464975 	9.905810533737359 
R00013	2 C00048 <=> C01146 + C00011	-19.038814730075053 	4.536846234682613 	-19.038814730075053 
R00014	C00022 + C00068 <=> C05125 + C00011	-30.341208401044916 	3.498908761711019 	-30.341208401044916 
R00015	2 C00089 <=> C00031 + C03661	-6.099610749580856 	5.526308410701801 	-6.099610749580856 
R00017	C00027 + 2 C00126 <=> 2 C00125 + 2 C00001	0.0	0.0	0.0
R00018	2 C00134 <=> C06366 + C00014	-3.2807938049458656 	4.1558740842917254 	-3.2807938049458656 
R00019	2 C00138 + 2 C00080 <=> C00282 + 2 C00139	17.947677495166417 	6.695621788464276 	0.8328399604453836 
R00021	2 C00025 + 2 C00139 <=> C00064 + C00026 + 2 C00138 + 2 C00080	65.56875919134151 	6.085705905652102 	65.56875919134151 
R00022	C01674 + C00001 <=> 2 C00140	-13.869059598797929 	3.6023153976212026 	-30.983897133518962 
R00023	2 C00192 + 2 C00003 <=> C01818 + 2 C00004 + 2 C00080	0.0	0.0	0.0
R00024	C01182 + C00011 + C00001 <=> 2 C00197	-26.150185315843927 	3.846257961844883 	-26.150185315843927 
R00025	C18091 + C00007 + C01847 <=> C00084 + C00088 + C00061 + C00001	0.0	0.0	0.0
R00026	C00185 + C00001 <=> 2 C00221	-9.31309974165365 	3.1403074722208273 	-26.427937276374685 
R00027	C01408 <=> 2 C00261	11.948868322304705 	1.834919582602833 	-5.165969212416329 
R00028	C00208 + C00001 <=> 2 C00031	-14.615313460213974 	1.61260017163051 	-31.73015099493501 
R00029	2 C00320 + 2 C00125 <=> C02084 + 2 C00126	0.0	0.0	0.0
R00031	C00007 + 2 C00082 <=> 2 C00355	-516.6250983878278 	10.092419904867596 	-499.51026085310684 
R00032	C02094 + C00007 <=> 2 C00376	-362.0990566146711 	5.122261705326338 	-362.0990566146711 
R00033	C00378 + C00007 <=> C00027 + C05856	-112.58987327771008 	4.316302232849462 	-112.58987327771008 
R00034	C03103 <=> 2 C08249	0.0	0.0	0.0
R00036	2 C00430 <=> C00931 + 2 C00001	-103.68923611081289 	4.040497320005695 	-86.57439857609185 
R00038	2 C00479 <=> C02948	-11.980957870797184 	1.103730736752729 	5.1338796639238495 
R00039	2 C00492 <=> C08242 + C00089	0.3794901565053742 	3.264557305736882 	0.3794901565053742 
R00041	2 C00339 + C00007 <=> 2 C00609 + 2 C00001	0.0	0.0	0.0
R00042	2 C01179 + C00007 <=> 2 C00642 + 2 C00011	-666.1405537983791 	11.429218376780122 	-683.2553913331001 
R00043	C04547 + C00007 <=> 2 C00755	-367.6217373480393 	3.316056590636038 	-367.6217373480393 
R00044	2 C01795 + C00007 <=> 2 C00757 + 2 C00001	-483.5365584351012 	4.722190609713224 	-466.42172090038014 
R00045	C00007 + 2 C00355 <=> 2 C00822 + 2 C00001	-334.84695411378635 	13.933718321638013 	-317.7321165790653 
R00047	C00007 + C01020 + C00030 <=> C01059 + C00011 + C00028 + C00001	0.0	0.0	0.0
R00048	C04546 + C00001 <=> 2 C01089	-49.41168112582135 	4.9898218388382265 	-66.5265186605424 
R00049	2 C01158 <=> C00031 + C04101	-10.68511210249811 	1.4466615184446898 	-10.68511210249811 
R00052	C00027 + C01371 + C01327 <=> C01334 + 2 C00001	0.0	0.0	0.0
R00053	C01572 + C00001 <=> 2 C01424	-54.43331752838167 	3.1139867729026207 	-71.54815506310271 
R00054	C02868 + C00001 <=> 2 C01839	-54.85434055438601 	3.1139867729026207 	-71.96917808910705 
R00055	2 C00294 + C00007 <=> 2 C01993 + 2 C00001	-426.5972975069629 	7.362370754213948 	-409.4824599722418 
R00056	C01910 + C00001 <=> 2 C02171	0.0	0.0	0.0
R00057	C00007 + 2 C01525 <=> C02318 + C00027	0.0	0.0	0.0
R00058	C00007 + 2 C00090 <=> 2 C02351 + 2 C00001	-278.2308838353828 	19.528682720827995 	-261.11604630066176 
R00059	C01255 + C00001 <=> 2 C02378	5.089416730224931 	1.7154983273147635 	-12.025420804496102 
R00060	C00007 + 2 C00495 <=> 2 C03036 + 2 C00001	-246.20641424659598 	200000.00115567696 	-229.09157671187495 
R00061	C00007 + 2 C00495 <=> 2 C03040 + 2 C00001	-246.20641424659598 	200000.00115567696 	-229.09157671187495 
R00062	2 C03374 <=> C00486 + C05787	0.006402658811708733 	0.0 	0.006402658811708733 
R00063	2 C01175 <=> C04275 + C00031	-8.090670903344249 	4.02891184370014 	-8.090670903344249 
R00066	2 C04332 <=> C00255 + C04732	-86.73210947280752 	7.179576091845109 	-86.73210947280752 
R00067	2 C05359 + 2 C00080 <=> C00282	0.0	0.0	0.0
R00068	C00007 + 2 C00072 <=> 2 C05422 + 2 C00001	-462.2434985356362 	4.459940855670263 	-445.12866100091514 
R00069	C05565 + C00027 <=> C03680 + C00007 + C00001	159.15778037243376 	6.174050956832092 	159.15778037243376 
R00070	2 C05791 + C00007 <=> 2 C05795 + 2 C00001	-515.1179232174286 	18.81147360742719 	-498.0030856827076 
R00072	C05856 + C00007 + C00001 <=> C00027 + C02892	-167.35285258078397 	4.382695363120617 	-167.35285258078397 
R00073	C00427 + C00028 + C00001 <=> C05956 + C00030	0.0	0.0	0.0
R00074	4 C01987 + 3 C00007 <=> 2 C02161 + 6 C00001	-990.9889675991284 	200000.0013420433 	-905.4147799255232 
R00075	3 C00019 <=> 3 C00170 + C05324	40.33715173328278 	300000.0005117601 	23.222314198561747 
R00076	4 C00002 + 2 C02308 <=> 4 C00008 + C02307	0.0	0.0	0.0
R00077	C02307 + 4 C00001 <=> 2 C02308 + 4 C00009	0.0	0.0	0.0
R00078	C00007 + 4 C14818 + 4 C00080 <=> 4 C14819 + 2 C00001	-49.789593648591875 	17.27109502376609 	-32.67475611387084 
R00080	4 C00090 + 3 C00007 <=> 6 C00001 + 2 C03861	-666.0697195389718 	400000.00077636837 	-580.4955318653666 
R00081	C00007 + 4 C00126 + 4 C00080 <=> 4 C00125 + 2 C00001	0.0	0.0	0.0
R00082	C00007 + 4 C01000 <=> 4 C00997 + 2 C00001	0.0	0.0	0.0
R00083	C00007 + 4 C01785 <=> 4 C05309 + 2 C00001	0.0	0.0	0.0
R00084	4 C00931 + C00001 <=> C01024 + 4 C00014	-141.41956221420915 	8.371597827633392 	-158.53439974893018 
R00085	C00002 + 2 C00001 <=> C00020 + 2 C00009	-49.77043295894822 	0.6092492805688845 	-84.00010802839029 
R00086	C00002 + C00001 <=> C00008 + C00009	-25.770698956711307 	0.31076451007678857 	-42.88553649143234 
R00087	C00002 + C00001 <=> C00020 + C00013	-35.28428992143563 	0.5858530235277625 	-52.39912745615666 
R00088	C00002 + C00001 <=> C00081 + C00014	-57.52431359841156 	3.6221153559747923 	-74.6391511331326 
R00089	C00002 <=> C00575 + C00013	7.175334222755339 	1.0104937734114767 	-9.939503311965694 
R00090	C00027 + C00004 + C00080 <=> C00003 + 2 C00001	-325.48626271089677 	3.30089054445199 	-308.37142517617576 
R00091	C00003 + 2 C00010 <=> C02015 + C00004 + C00080	-12.170899716207117 	3.3867725281076235 	4.943937818513916 
R00092	C00003 + 2 C14818 <=> C00004 + C00080 + 2 C14819	204.22258764894374 	8.488038740337704 	204.22258764894374 
R00093	2 C00025 + C00003 <=> C00064 + C00026 + C00004 + C00080	48.25486465459683 	0.9216681285459271 	48.25486465459683 
R00094	2 C00051 + C00003 <=> C00127 + C00004 + C00080	15.309820974574272 	0.8613032041363794 	32.424658509295305 
R00095	C00003 + 2 C00072 <=> C00004 + 2 C01041 + C00080	-34.06885688104265 	3.357016554825759 	-34.06885688104265 
R00097	C00003 + 2 C00541 + 2 C00001 + C00080 <=> C00004 + 2 C00992	0.0	0.0	0.0
R00099	C00003 + 2 C00853 <=> C00004 + C00080 + 2 C00541	0.0	0.0	0.0
R00100	C00004 + 2 C00996 <=> C00003 + 2 C00999 + C00080	0.0	0.0	0.0
R00101	C00004 + 2 C02683 <=> C00003 + 2 C02685 + C00080	0.0	0.0	0.0
R00102	C00003 + C00001 <=> C00153 + C00301	-36.27949986213634 	3.325839392806993 	-53.394337396857374 
R00103	C00003 + C00001 <=> C00020 + C00455	-36.79063862431953 	3.0511461964684305 	-53.90547615904056 
R00104	C00002 + C00003 <=> C00008 + C00006	-13.177483729311788 	2.9943729472212026 	-13.177483729311788 
R00105	C00002 + C00004 <=> C00008 + C00005	-13.198959065100297 	3.0139449249984507 	-13.198959065100297 
R00106	C00005 + 2 C00923 <=> C00006 + 2 C00924 + C00080	0.0	0.0	0.0
R00107	C00005 + 2 C00992 <=> C00006 + 2 C00541 + 2 C00001 + C00080	0.0	0.0	0.0
R00108	C00005 + 2 C00997 <=> C00006 + 2 C01000 + C00080	0.0	0.0	0.0
R00109	C00005 + 2 C02683 <=> C00006 + 2 C02685 + C00080	0.0	0.0	0.0
R00111	C00005 + 2 C05933 + 2 C00007 + C00080 <=> C00006 + 2 C00533 + 2 C00327 + 2 C00001	0.0	0.0	0.0
R00112	C00005 + C00003 <=> C00006 + C00004	0.021475335788194716 	0.34292078367097895 	0.021475335788194716 
R00113	C00027 + C00005 + C00080 <=> C00006 + 2 C00001	-325.46478737510813 	3.3048966005843146 	-308.3499498403871 
R00114	2 C00025 + C00006 <=> C00064 + C00026 + C00005 + C00080	48.233389318808406 	0.9637894899837088 	48.233389318808406 
R00115	2 C00051 + C00006 <=> C00127 + C00005 + C00080	15.288345638785628 	0.800654596738381 	32.40318317350666 
R00118	C00006 + C00001 <=> C00009 + C00003	-12.593215227399343 	3.0104557674501184 	-29.708052762120374 
R00119	C00006 + C00253 <=> C00153 + C13051	-10.431088221291311 	3.1412437440259686 	-10.431088221291311 
R00120	C00007 + 2 C00051 <=> C00127 + C00027	-117.43868526100819 	4.350854836737879 	-100.32384772628716 
R00122	C00008 + C00001 <=> C00020 + C00009	-23.99973400223712 	0.3198974670836799 	-41.11457153695815 
R00123	C00008 + C00001 <=> C00104 + C00014	-61.14170316886529 	3.8980667196045826 	-78.25654070358632 
R00124	C00002 + C00008 <=> C00008 + C00002	0.0 	0.0 	0.0 
R00125	C01260 + C00001 <=> 2 C00008	-31.268436160293053 	8.332153310446936 	-48.38327369501408 
R00126	C00008 + C00002 <=> C00009 + C01260	5.497737203581693 	8.331407542414418 	5.497737203581693 
R00127	C00002 + C00020 <=> 2 C00008	-1.7709649544739179 	0.16319698056623952 	-1.7709649544739179 
R00128	C03483 + C00001 <=> C00002 + C00009	-31.319350935209684 	3.011412249509301 	-48.43418846993072 
R00129	C00002 + C04856 <=> C00008 + C00009 + C00004	-48.00482165395041 	3.7868906227359362 	-65.11965918867145 
R00130	C00002 + C00882 <=> C00008 + C00010	2.469706984829905 	2.9943729472208584 	2.469706984829905 
R00131	C00086 + C00001 <=> C00011 + 2 C00014	-29.721648019542698 	4.648614834478427 	-63.951323088984765 
R00132	C01353 <=> C00011 + C00001	0.0	0.0	0.0
R00134	C00058 + C00006 <=> C00011 + C00005 + C00080	-14.749504414048811 	3.3475842008938512 	-14.749504414048811 
R00135	C00012 + C00001 <=> C00148 + C00012	228.24299431843505 	5.386762935647341 	211.12815678371402 
R00137	C00002 + C00455 <=> C00013 + C00003	1.5063487028839178 	2.994372947220673 	1.5063487028839178 
R00138	C00536 + C00001 <=> C00013 + C00009	0.0	0.0	0.0
R00139	C11038 + C00002 <=> C11039 + C00008	2.4870626051590663 	1.2771221416781027 	2.4870626051590663 
R00140	C11038 + C00008 <=> C03997 + C00002	-0.8643019830878487 	1.2946921703319871 	-0.8643019830878487 
R00141	C00002 + C00014 <=> C00008 + C02306	0.0	0.0	0.0
R00143	C00014 + C00003 + C00001 <=> C00192 + C00004 + C00080	0.0	0.0	0.0
R00145	C05167 + C00001 + C00003 <=> C00161 + C00014 + C00004 + C00080	0.0	0.0	0.0
R00146	C05167 + C00001 + C00006 <=> C00161 + C00014 + C00005 + C00080	0.0	0.0	0.0
R00148	C00014 + C00007 + C00390 <=> C00192 + C00001 + C00399	0.0	0.0	0.0
